WP4;DRN;campaign;alpha;beta;gamma
3858;France;2;0.704124097;0.108784357;0.812908454
3858;France;3;0.688970968;0.120130709;0.809101677
3858;France;4;0.739733056;0.083285192;0.823018248
3858;France;5;0.826130835;0.032049852;0.858180687
3865;France;1;0.74833207;0.076342698;0.824674767
3865;France;2;0.603489023;0.186016817;0.789505839
3865;France;3;0.589367341;0.197045876;0.786413217
3865;France;4;0.651281528;0.148346377;0.799627904
3865;France;5;0.80601411;0.040332112;0.846346221
3859;France;1;0.707294153;0.106339422;0.813633575
3859;France;2;0.598152375;0.190702504;0.788854879
3859;France;3;0.579679042;0.20506403;0.784743072
3859;France;4;0.732281844;0.119062857;0.851344701
3859;France;5;0.811813481;0.062486443;0.874299924
3860;France;1;0.70098684;0.111255759;0.812242599
3860;France;2;0.593078051;0.195053704;0.788131755
3860;France;3;0.572909943;0.210695423;0.783605366
3860;France;4;0.705938312;0.111365197;0.817303509
3860;France;5;0.854383149;0.015511521;0.869894671
3863;France;1;0.834878138;0.023241985;0.858120122
3863;France;2;0.761897881;0.069031097;0.830928978
3863;France;3;0.739171922;0.08432033;0.823492252
3863;France;4;0.752985913;0.114577412;0.867563325
3863;France;5;0.85315137;0.024152642;0.877304013
3861;France;1;0.843963268;0.028117847;0.872081115
3861;France;2;0.818820642;0.036888664;0.855709307
3861;France;3;0.810611318;0.043581801;0.854193118
3861;France;4;0.804514831;0.059313179;0.863828009
3861;France;5;0.844676487;0.046740432;0.891416919
3862;France;1;0.843963268;0.028117847;0.872081115
3862;France;2;0.818820642;0.036888664;0.855709307
3862;France;3;0.810611318;0.043581801;0.854193118
3862;France;4;0.804514831;0.059313179;0.863828009
3862;France;5;0.844676487;0.046740432;0.891416919
3864;France;1;0.827097676;0.027457877;0.854555553
3864;France;2;0.719583011;0.10108733;0.820670341
3864;France;3;0.690210322;0.121335027;0.811545348
3864;France;4;0.789035646;0.050663235;0.839698881
3864;France;5;0.853948785;0.024969746;0.87891853
3866;France;1;0.753496444;0.073360333;0.826856777
3866;France;2;0.687643033;0.120572702;0.808215735
3866;France;3;0.675070222;0.13021024;0.805280462
3866;France;4;0.740416623;0.096090048;0.836506671
3866;France;5;0.834250727;0.032814495;0.867065222
3867;France;1;0.811343197;0.038635817;0.849979015
3867;France;2;0.733666693;0.088194079;0.821860772
3867;France;3;0.716242559;0.10068045;0.816923008
3867;France;4;0.739858449;0.0868539;0.826712349
3867;France;5;0.821866194;0.033939991;0.855806185
3880;France;1;0.786362291;0.053158861;0.839521152
3880;France;2;0.694913293;0.115827049;0.810740342
3880;France;3;0.681926706;0.125654353;0.807581059
3880;France;4;0.693708931;0.116562441;0.810271373
3880;France;5;0.822779041;0.034312649;0.85709169
3870;France;1;0.826567545;0.033152127;0.859719671
3870;France;2;0.738930685;0.083971146;0.822901831
3870;France;3;0.728712091;0.091881119;0.82059321
3870;France;4;0.740335952;0.083600315;0.823936266
3870;France;5;0.82233645;0.035546906;0.857883356
3871;France;1;0.826567545;0.033152127;0.859719671
3871;France;2;0.738930685;0.083971146;0.822901831
3871;France;3;0.728712091;0.091881119;0.82059321
3871;France;4;0.740335952;0.083600315;0.823936266
3871;France;5;0.82233645;0.035546906;0.857883356
3872;France;1;0.83899155;0.026167157;0.865158708
3872;France;2;0.76049429;0.06888821;0.8293825
3872;France;3;0.749057424;0.077470467;0.82652789
3872;France;4;0.750969094;0.075675917;0.826645011
3872;France;5;0.830268945;0.032150064;0.862419009
3878;France;1;0.774923207;0.060473164;0.835396372
3878;France;2;0.718257934;0.098502362;0.816760295
3878;France;3;0.711767168;0.103785719;0.815552887
3878;France;4;0.746104741;0.08220717;0.828311911
3878;France;5;0.827346188;0.038376398;0.865722587
3873;France;1;0.828182828;0.029136633;0.857319461
3873;France;2;0.734604933;0.086732326;0.82133726
3873;France;3;0.720839492;0.096926506;0.817765998
3873;France;4;0.731797702;0.088807683;0.820605385
3873;France;5;0.82293329;0.033772121;0.85670541
3874;France;1;0.809760371;0.038652144;0.848412515
3874;France;2;0.726575551;0.092538892;0.819114443
3874;France;3;0.712595042;0.10295034;0.815545382
3874;France;4;0.767077044;0.06528708;0.832364124
3874;France;5;0.836270979;0.029985795;0.866256774
3875;France;1;0.809760371;0.038652144;0.848412515
3875;France;2;0.726575551;0.092538892;0.819114443
3875;France;3;0.712595042;0.10295034;0.815545382
3875;France;4;0.767077044;0.06528708;0.832364124
3875;France;5;0.836270979;0.029985795;0.866256774
