id,nep
3507,-0.08877491132235167
3508,0.08177611604090838
3509,9.40246993636295e-5
3510,-0.09269842230517987
3511,-0.057765981136073535
3512,-0.01733229374556282
3513,0.4277245174924378
3514,1.1588001756427915
3515,1.5167677892226583
3516,1.2361640990966687
3517,0.7271711711710227
3518,1.2287022825313751
3519,2.0215814254583346
3520,0.6477769504813068
3521,4.00233651838136
3522,2.592839484836131
3523,1.9468995916064873
3524,2.165412121194865
3525,2.6110244048077367
3526,2.4586051392560426
3527,1.820090685621399
3528,1.7303754593926346
3529,1.2074788993310066
3530,1.690503760949364
3531,1.8382484982485796
3532,1.8468462432706216
3533,2.019482198863418
3534,2.1344727791581084
3535,0.9236151981399929
3536,0.5463135076003032
3537,0.5155860038731898
3538,0.474126177338181
3539,0.4296482355729773
3540,0.7298581924201991
3541,0.3817835268611235
3542,0.6299069640754501
3543,-0.3267839391286085
3544,-0.22394916574638285
3545,-0.4297384027687177
3546,-0.5327824428275848
3547,-0.5088734178311326
3548,-0.5094634614226716
3549,-0.5186812128450153
3550,-0.5302922623127453
3551,-0.46428707723001894
3552,-0.4558379550538325
3553,-0.5168782786701399
3554,-0.5502674123577002
3555,-0.6399953312846928
3556,-0.6291960170992392
3557,-0.631353583877522
3558,-0.5754374932874337
3559,-0.5562826831750869
3560,-0.5689749855590973
3561,-0.5828194963595763
3562,-0.6218376192660421
3563,-0.6822145099770706
3564,-0.5918290077770337
3565,-0.5908327881930735
3566,-0.4190568272883296
3567,-0.4614781290491765
3568,-0.4589161909666813
3569,-0.5217543003347366
3570,-0.6240726311442135
3571,-0.576489685104788
3572,-0.5731914229154234
3573,-0.586686394190429
3574,-0.4520539961226805
3575,-0.5804184468584349
3576,-0.6211700344157289
3577,-0.5642255456335937
3578,-0.5745201542959766
3579,-0.5761452072353922
3580,-0.582630893168362
3581,-0.7596635244927192
3582,-0.5537756802343332
3583,-0.5465010408508575
3584,-0.6288265830056801
3585,-0.6167779052078556
3586,-0.48015996064086514
3587,-0.5433893420333269
3588,-0.5785566475114248
3589,-0.5473152792095262
3590,-0.6281788741484768
3592,-0.5785218156077164
3593,-0.5610020854220648
3594,-0.530838262803519
3595,-0.6576316432712787
3596,-0.6350305421334455
3597,-0.6323613529485718
3598,-0.5737182783372471
3599,-0.5025356000977308
3600,-0.6188815528292885
3601,-0.5362770638338797
3602,-0.5269710711165277
3603,-0.493667189063945
3604,-0.5409874381505745
3605,-0.47845998669934126
3606,-0.5316134941783696
3607,-0.5422856428027129
3608,-0.5305189306694589
3609,-0.5601498591511852
3610,-0.574352616751959
3611,-0.5534430319692534
3612,-0.5112823779342527
3613,-0.5422889503078392
3614,-0.5663696437717103
3615,-0.6610166065121296
3616,-0.5295120493110649
3617,-0.5413633436484865
3618,-0.5732586895404559
3619,-0.5787567886699478
3620,-0.6552676674544521
3621,-0.5844155755301949
3622,-0.5130585690297605
3623,-0.5683862058005957
3624,-0.6648427598780152
3625,-0.69432852570896
3626,-0.5405371387116926
3627,-0.5809581509967459
3628,-0.7080552007448153
3629,-0.5542900483249271
3630,-0.5495960179356596
3631,-0.6018308845113535
3632,-0.5278917934181862
3633,-0.49828617196567315
3634,-0.5636593460254172
3635,-0.4629745340517445
3636,-0.5241365389936692
3637,-0.5011799501639457
3638,-0.5620253569562899
3639,-0.5994103500994759
3640,-0.606828751256279
3641,-0.6066012038174904
3642,-0.513111845451414
3643,-0.5554610002464367
3644,-0.6023533312050628
3645,-0.615966091484781
3646,-0.5911408701675851
3647,-0.5734750876268884
3648,-0.6310680456645703
3649,-0.5107257029283967
