campaing,ID,co2
1,3507,14317.956136933333
1,3508,34395.921836533336
1,3509,33397.1279224
1,3510,38731.673236
1,3511,43542.130719466666
1,3512,42577.01840293333
1,3513,45690.7120924
1,3514,30029.3875632
1,3515,10127.071773146667
1,3516,52075.72396533333
1,3517,47026.9263204
1,3518,37687.12922053333
1,3519,19975.7667664
1,3520,515.5497864106667
1,3521,44992.76042186667
1,3522,37024.229912266666
1,3523,1266.5495445066667
1,3524,14237.260412266667
1,3525,29802.309158533335
1,3526,11246.73153888
1,3527,51005.95133413334
1,3528,9339.3502386
1,3529,14725.611441066667
1,3530,5144.68477312
1,3531,2305.090214773333
1,3532,45202.86040386667
1,3533,7590.615981946667
1,3534,27797.977498266668
1,3535,10270.561532586667
1,3536,21124.3268244
1,3537,21891.716848666667
1,3538,22218.3239716
1,3539,22854.82775
1,3540,4609.956249413333
1,3541,32160.970888
1,3542,9172.786816013333
1,3543,9888.539332226666
1,3544,20138.212858933333
1,3545,1507.447939088
1,3546,18681.589830666668
1,3547,837.2049809534667
1,3548,1657.8143765213333
1,3549,2045.4856684973333
1,3550,3569.79572092
1,3551,4683.768980948
1,3552,6344.343041653333
1,3553,1109.1700025333334
1,3554,4231.636944696
1,3555,2703.5369501626665
1,3556,2698.3938287733336
1,3557,818.4407039690667
1,3558,3103.368044184
1,3559,6169.220299261333
1,3560,2891.485990088
1,3561,4594.56433468
1,3562,7793.37369232
1,3563,2076.3724967733333
1,3564,4861.178197586667
1,3565,13730.713228933333
1,3566,5539.2532358
1,3567,12548.362714160001
1,3568,8990.270093853333
1,3569,6658.6225901866665
1,3570,294.5031543306667
1,3571,781.0296434933333
1,3572,1147.1289146986667
1,3573,1146.5515651618666
1,3574,7231.4888333
1,3575,1477.3985160933332
1,3576,2090.0865446666667
1,3577,2170.7553233466665
1,3578,2410.5390445733333
1,3579,2331.132611728
1,3580,894.914260636
1,3581,1983.50069068
1,3582,3345.916183736
1,3583,4653.925162458667
1,3584,3512.0708102266667
1,3585,2157.5139279466666
1,3586,1713.7651263080002
1,3587,1748.7574903733334
1,3588,654.7017468013333
1,3589,4115.94507504
1,3590,675.2961907826667
1,3592,1002.597372016
1,3593,945.20170462
1,3594,2105.9563113333334
1,3595,4100.005064226667
1,3596,795.4582458168
1,3597,1714.8136977066667
1,3598,2367.6066740533333
1,3599,2124.1319931066664
1,3600,2923.7625877066666
1,3601,2633.6736667733335
1,3602,4007.623085418667
1,3603,1459.94421576
1,3604,1769.8196405466667
1,3605,1936.7792196133332
1,3606,2541.0027364266666
1,3607,825.30520422
1,3608,1318.5033952226668
1,3609,939.033415296
1,3610,1407.993326384
1,3611,4054.738140653333
1,3612,1987.1930246
1,3613,1187.8280369866666
1,3614,3641.15858272
1,3615,626.93644022
1,3616,3455.66613612
1,3617,2942.1072779466667
1,3618,2475.2139436266666
1,3619,1303.1233448466667
1,3620,1298.0344076266667
1,3621,1701.238427
1,3622,1856.9854855666667
1,3623,8158.317704721067
1,3624,3654.7527551466665
1,3625,1175.4693730253334
1,3626,2399.700421232
1,3627,2017.5811490746667
1,3628,840.5072474213333
1,3629,4338.805241293333
1,3630,3826.5029754133334
1,3631,3333.8590233466666
1,3632,3009.942613973333
1,3633,3321.0933695466665
1,3634,2739.246573746667
1,3635,729.9864117813333
1,3636,5476.812579053333
1,3637,3408.2495972
1,3638,3365.6032517466665
1,3639,5183.31840664
1,3640,717.4006914533334
1,3641,7300.384340541334
1,3642,6936.180722453333
1,3643,4199.336275893334
1,3644,422.26480326666666
1,3645,2847.3852272
1,3646,2858.2595780266665
1,3647,1157.3341183693333
1,3648,759.6393237213333
1,3649,1755.0911847066666
1,3650,6254.986510146667
1,3651,4779.56668896
1,3652,1040.1680779584
1,3653,7717.482231426667
1,3654,6598.504698266666
1,3655,6454.685057306667
1,3656,1844.1647415066666
