WP4;DRN;dem;nep;co2
3860;France;0.001885725;-1.300593311;3685.646999
3861;France;0.00283249;-0.977412851;3649.230641
3862;France;0.002879287;-0.987287613;2960.23724
3863;France;0.002986843;-0.967737051;628.5032388
3864;France;0.002945593;-1.128287049;3104.930401
3865;France;0.002991285;-1.059777427;1449.65166
3866;France;0.001980302;-1.055225749;1874.445543
3867;France;0.003007768;-1.207353674;943.9765255
3868;France;0.00195111;-1.207155695;3910.66319
3869;France;0.00196459;-1.7545812;5215.991545
3870;France;0.002064692;-1.550922862;8685.336028
3871;France;0.00206389;-1.155996216;8741.806981
3872;France;0.00210322;-1.598280182;5178.905811
3873;France;0.002101889;-1.513150684;3811.942367
3874;France;0.002738651;-1.190430429;5906.807011
3875;France;0.002713979;-1.191231455;4251.125533
3876;France;0.0028158;-1.189883495;4887.349411
3877;France;0.002804868;-1.210369977;3576.628713
3878;France;0.001979222;-1.120044518;1563.794893
3879;France;0.001941439;-1.196171152;926.3492831
3880;France;0.00288549;-1.554055325;4027.903091
3947;France;0.002552208;-0.545296432;92.67342426
