campaing,WP4_ID,nep
1,3507,-0.13372041982537736
1,3508,0.23730123619253177
1,3509,0.20968666483341972
1,3510,0.16777923511366277
1,3511,0.210754810067138
1,3512,0.22404848524305482
1,3513,0.6856455074862126
1,3514,1.6846725625657428
1,3515,2.0865073896378785
1,3516,1.3470773869807517
1,3517,0.727552026642107
1,3518,1.2174436786510576
1,3519,2.456500210610002
1,3520,1.1415758275772696
1,3521,4.2887252495119625
1,3522,2.2176998984075826
1,3523,2.9125504843123204
1,3524,2.041533634707506
1,3525,3.0291683514472596
1,3526,3.1422530387401717
1,3527,1.4838113819952974
1,3528,1.3525995389092504
1,3529,0.9235489459860071
1,3530,1.3962231141765507
1,3531,1.4115759269798436
1,3532,1.6026527648073732
1,3533,2.3140439119836556
1,3534,1.512834417419846
1,3535,0.8314646619989868
1,3536,0.32899194613189164
1,3537,0.2634241825644578
1,3538,0.22079933677954336
1,3539,0.183461264873056
1,3540,0.38923269353017836
1,3541,0.14011822981768457
1,3542,0.29338198076949734
1,3543,-0.47686341699950957
1,3544,-0.3319285329940664
1,3545,-0.46300785203724876
1,3546,-0.5431554900059135
1,3547,-0.5247143243963817
1,3548,-0.5307370086198737
1,3549,-0.5310865309178613
1,3550,-0.5583817762381134
1,3551,-0.491629077640996
1,3552,-0.4913576654203107
1,3553,-0.5354454945038459
1,3554,-0.5625972907283671
1,3555,-0.6318508937618824
1,3556,-0.6353548151002253
1,3557,-0.6251292010271178
1,3558,-0.5615232182118262
1,3559,-0.5504470263581851
1,3560,-0.5478072696782367
1,3561,-0.5798727222012419
1,3562,-0.6159633849604068
1,3563,-0.6669875242813836
1,3564,-0.5824006266192681
1,3565,-0.576045081993311
1,3566,-0.40609677433050895
1,3567,-0.40788206401751864
1,3568,-0.4396263273373742
1,3569,-0.49401492261944535
1,3570,-0.601366199059393
1,3571,-0.5529571232990216
1,3572,-0.5516890489399238
1,3573,-0.5870865828548122
1,3574,-0.40789140475752234
1,3575,-0.5306182447048807
1,3576,-0.5770752255513013
1,3577,-0.5216359505548989
1,3578,-0.5326286935045768
1,3579,-0.5511748027448353
1,3580,-0.5754738045887202
1,3581,-0.7703733406700664
1,3582,-0.5129489276257253
1,3583,-0.5317945958826011
1,3584,-0.5960246831011295
1,3585,-0.6152785998192237
1,3586,-0.4666541269091985
1,3587,-0.5367801171947513
1,3588,-0.5709943746078951
1,3589,-0.549693852906066
