WP4,Regime
1671,perennial
2238,perennial
2263,perennial
2239,perennial
2262,intermittent
2240,perennial
2241,perennial
2242,perennial
2252,perennial
2254,perennial
2253,intermittent
2243,perennial
2244,perennial
2246,perennial
2245,perennial
2250,perennial
2248,perennial
2247,perennial
2249,perennial
2255,perennial
2258,perennial
2260,perennial
2257,perennial
2259,perennial
2256,perennial
1672,perennial
1673,perennial
1674,perennial
2235,perennial
1675,perennial
1676,perennial
1677,perennial
2221,perennial
2222,perennial
2227,perennial
2231,perennial
2230,perennial
2229,perennial
2228,perennial
2232,perennial
2223,perennial
2224,perennial
2233,perennial
1678,perennial
1679,perennial
1680,perennial
1681,perennial
2203,perennial
2204,perennial
1682,perennial
1683,perennial
1684,perennial
1685,perennial
1686,perennial
1687,perennial
1688,perennial
1845,perennial
1847,perennial
1846,perennial
1844,perennial
1848,perennial
1689,perennial
1843,perennial
1690,perennial
1691,perennial
1692,perennial
1693,perennial
1696,perennial
1695,perennial
1694,perennial
1697,perennial
1761,perennial
1762,perennial
1767,perennial
1766,perennial
1763,perennial
1764,perennial
1765,perennial
1770,intermittent
1771,intermittent
1698,perennial
1757,perennial
1759,perennial
1760,perennial
1758,perennial
1740,perennial
1699,perennial
1756,perennial
1747,perennial
1746,perennial
1741,perennial
1742,perennial
1745,perennial
1744,perennial
1743,perennial
1750,perennial
1752,intermittent
1751,perennial
1749,intermittent
1748,intermittent
1754,intermittent
1755,intermittent
1753,intermittent
1700,perennial
1735,perennial
1737,perennial
1736,perennial
1701,perennial
1738,perennial
1734,perennial
1702,perennial
1703,perennial
1704,perennial
1705,perennial
1706,perennial
1707,perennial
1721,perennial
1708,perennial
1709,perennial
1719,intermittent
1710,perennial
1711,perennial
1714,intermittent
1712,perennial
1713,perennial
1715,perennial
1718,perennial
1717,perennial
1716,perennial
1720,perennial
1722,perennial
1723,perennial
1724,perennial
1725,perennial
1733,perennial
1726,perennial
1732,perennial
1727,perennial
1731,perennial
1729,intermittent
1728,intermittent
1730,intermittent
1772,perennial
1773,perennial
1774,perennial
1775,perennial
1824,intermittent
1825,intermittent
1826,intermittent
1776,perennial
1812,perennial
1821,intermittent
1823,intermittent
1822,intermittent
1813,perennial
1814,intermittent
1815,intermittent
1817,intermittent
1818,intermittent
1819,intermittent
1816,intermittent
1820,perennial
1777,perennial
1811,perennial
1778,perennial
1779,perennial
1781,perennial
1783,perennial
1784,perennial
1780,perennial
1782,perennial
1785,perennial
1786,perennial
1788,perennial
1787,perennial
1789,perennial
1792,perennial
1794,perennial
1793,perennial
1795,perennial
1790,perennial
1796,perennial
1791,perennial
1797,perennial
1799,perennial
1801,perennial
1798,perennial
1800,perennial
1802,perennial
1803,perennial
1804,perennial
1806,perennial
1810,intermittent
1807,perennial
1809,perennial
1808,perennial
1805,perennial
1827,perennial
1828,perennial
1830,intermittent
1829,perennial
1831,perennial
1842,perennial
1839,perennial
1840,perennial
1841,intermittent
1832,perennial
1838,perennial
1833,perennial
1834,perennial
1835,perennial
1837,intermittent
1836,intermittent
1850,intermittent
1849,intermittent
1851,perennial
1852,perennial
1853,perennial
