"WP4","campaign","dr_ss","pu"
3756,1,0.043840823,1
3757,1,0.07227354,1
3758,1,0.159778002,1
3759,1,0.06872781,1
3760,1,0.048851477,1
3761,1,0.24489402,1
3762,1,0.15447747,1
3763,1,0.133706268,1
3764,1,0.157604908,1
3765,1,0.125332701,1
3766,1,0.192848947,1
3767,1,0.16570836,1
3768,1,0.199794179,1
3769,1,0.240427607,1
3770,1,0.165139316,1
3771,1,0.208026853,1
3772,1,0.16669211,1
3773,1,0.127531779,1
3775,1,0.120144841,1
3776,1,0.160611171,1
3777,1,0.229217913,1
3778,1,0.219794277,1
3779,1,0.13400991,1
3780,1,0.103537709,1
3781,1,0.034967969,1
3782,1,0.047031025,1
3783,1,0.193117353,1
3784,1,0.201122137,1
3785,1,0.16580964,1
3786,1,0.308191029,1
3787,1,0.140948656,1
3788,1,0.236898027,1
3789,1,0.112393018,1
3790,1,0.205176248,1
3791,1,0.086958133,1
3792,1,0.190735716,1
3793,1,0.240820585,1
3794,1,0.296832531,1
3795,1,0.062409693,1
3796,1,0.131789014,1
3797,1,0.137357177,1
3798,1,0.157508964,1
3799,1,0.16104029,1
3800,1,0.061634326,1
3801,1,0.143876629,1
3802,1,0.164978268,1
3803,1,0.069922891,1
3804,1,0.174847321,1
3805,1,0.161834023,1
3806,1,0.103231192,1
3807,1,0.144926442,1
3808,1,0.134125221,1
3809,1,0.113204683,1
3810,1,0.085367348,1
3811,1,0.184725776,1
3812,1,0.061972752,1
3813,1,0.10631494,1
3814,1,0.163219061,1
3815,1,0.051653833,1
3816,1,0.109405475,1
3817,1,0.116240804,1
3818,1,0.119615347,1
3819,1,0.016055468,1
3820,1,0.13986399,1
3821,1,0.037948088,1
3822,1,0.000165,1
3823,1,0.014071706,1
3824,1,0.028689282,1
3825,1,0.024753492,1
3826,1,0.090917558,1
3827,1,0.11690598,1
3828,1,0.224778913,1
3829,1,0.174570871,1
3830,1,0.10204795,1
3831,1,0.044679856,1
3832,1,0.109017428,1
3833,1,0.015661064,1
3834,1,0.050134278,1
3835,1,2.36e-05,1
3836,1,0.000105,1
3837,1,0.000191,1
3838,1,0.004772743,1
3839,1,0.00281797,1
3840,1,0.001266526,1
3841,1,0.001298716,1
3842,1,0.00102934,1
3843,1,0.00395808,1
3844,1,0.001513207,1
3845,1,0.000565,1
3846,1,0.000432,1
3847,1,0.007231695,1
3848,1,0.039364903,1
3849,1,0.031454723,1
3850,1,0.093473658,1
3851,1,0.126299755,1
3852,1,0.126539572,1
3853,1,0.034957377,1
3854,1,0.001130337,1
3855,1,0.002259052,1
3856,1,0.000772,1
3857,1,0.001715446,1
3858,1,0.001404743,1
3859,1,5.86e-05,1
3860,1,0.000127,1
3861,1,0.000119,1
3862,1,0.003084294,1
3863,1,5.79e-05,1
3864,1,0.000228,1
3865,1,0.000504,1
3866,1,0.00063,1
3867,1,0.003583438,1
3868,1,0.000825,1
3869,1,0.001237631,1
3870,1,0.002099313,1
3871,1,0.001440543,1
3872,1,0.000379,1
3873,1,0.002615795,1
3874,1,0.001095205,1
3875,1,0.000627,1
3876,1,0.000422,1
3877,1,2.64e-05,1
3878,1,0.001423189,1
3879,1,0.000762,1
3880,1,0.002203,1
3947,1,0.530762941,1
3507,2,0.004417472,1
3508,2,0.001306444,1
3509,2,0.000648,1
3510,2,0.00039,1
3511,2,0.000421,1
3512,2,0.000638,1
3513,2,0.006852424,1
3514,2,0.012406564,1
3515,2,0.004131237,1
3516,2,0.037415749,1
3517,2,0.111390876,1
3518,2,0.099914997,1
3519,2,0.01163979,1
3520,2,0.012216974,1
3521,2,0.131214007,1
3522,2,0.154258666,1
3523,2,0.056296985,1
3524,2,0.222080529,1
3525,2,0.111883473,1
3526,2,0.152166392,1
3527,2,0.245336334,1
3528,2,0.188029794,1
3529,2,0.204512959,1
3530,2,0.155538224,1
3531,2,0.15531321,1
3532,2,0.140022321,1
3533,2,0.135429736,1
3534,2,0.195542045,1
3535,2,0.161455634,1
3536,2,0.254359306,1
3537,2,0.406098566,1
3538,2,0.530762941,1
3539,2,0.461288224,1
3540,2,0.128107883,1
3541,2,0.562936672,1
3542,2,0.321541771,1
3543,2,0.495311553,1
3544,2,0.412631387,1
3545,2,0.094390167,1
3546,2,0.034516496,1
3547,2,0.010887956,1
3548,2,0.028607428,1
3549,2,0.007699343,1
3550,2,0.058414744,1
3551,2,0.096871489,1
3552,2,0.198195238,1
3553,2,0.081544822,1
3554,2,0.017948045,1
3555,2,0.00979339,1
3556,2,0,1
3557,2,0.003106424,1
3558,2,0.013773377,1
3559,2,0.028999421,1
3560,2,0.033242633,1
3561,2,0.112619619,1
3562,2,0.036916445,1
3563,2,0,1
3564,2,0.035278065,1
3565,2,0.102926562,1
3566,2,0.292893796,1
3567,2,0.1272754,1
3568,2,0.319250239,1
3569,2,0.178180435,1
3570,2,0.140920774,1
3571,2,0.071509308,1
3572,2,0.107908388,1
3573,2,0.140818656,1
3574,2,0.055215047,1
3575,2,0.055277623,1
3576,2,0.012394923,1
3577,2,0.025598688,1
3578,2,0.028738081,1
3579,2,0.025887352,1
3580,2,0.107581915,1
3581,2,0.074733457,1
3582,2,0.035777103,1
3583,2,0.018477152,1
3584,2,0.078408923,1
3585,2,0.147183831,1
3586,2,0.018431684,1
3587,2,0.005434463,1
3588,2,0.060133667,1
3589,2,0.1465417,1
3590,2,0.124218033,1
3592,2,0.156491156,1
3593,2,0.010275591,1
3594,2,0.095704401,1
3595,2,0.076202261,1
3596,2,0.013036808,1
3597,2,0.027449044,1
3598,2,0.027033021,1
3599,2,0.01481224,1
3600,2,0.026288293,1
3601,2,0.052330328,1
3602,2,0.023402863,1
3603,2,0.008188889,1
3604,2,0.052292284,1
3605,2,0.024352365,1
3606,2,0.099357038,1
3607,2,0.088570191,1
3608,2,0.132438751,1
3609,2,0.067165541,1
3610,2,0.055994461,1
3611,2,0.031297959,1
3612,2,0.041714758,1
3613,2,0.024116576,1
3614,2,0.055830277,1
3615,2,0.139751136,1
3616,2,0.094566829,1
3617,2,0.073511985,1
3618,2,0.103828419,1
3619,2,0.053336262,1
3620,2,0.071954747,1
3621,2,0.100073107,1
