id1,id2,bound
101672,101671,1
101672,201672,1
101673,101671,1
101673,101672,1
101673,201673,1
101674,101671,1
101674,101672,1
101674,101673,1
101674,201674,1
101675,101671,1
101675,101672,1
101675,101673,1
101675,101674,1
101675,201675,1
101676,101671,1
101676,101672,1
101676,101673,1
101676,101674,1
101676,101675,1
101676,201676,1
101677,101671,1
101677,101672,1
101677,101673,1
101677,101674,1
101677,101675,1
101677,101676,1
101677,201677,1
101678,101671,1
101678,101672,1
101678,101673,1
101678,101674,1
101678,101675,1
101678,101676,1
101678,101677,1
101678,201678,1
101679,101671,1
101679,101672,1
101679,101673,1
101679,101674,1
101679,101675,1
101679,101676,1
101679,101677,1
101679,101678,1
101679,201679,1
101680,101671,1
101680,101672,1
101680,101673,1
101680,101674,1
101680,101675,1
101680,101676,1
101680,101677,1
101680,101678,1
101680,101679,1
101680,201680,1
101681,101671,1
101681,101672,1
101681,101673,1
101681,101674,1
101681,101675,1
101681,101676,1
101681,101677,1
101681,101678,1
101681,101679,1
101681,101680,1
101681,201681,1
101682,101672,1
101682,101673,1
101682,101674,1
101682,101675,1
101682,101676,1
101682,101677,1
101682,101678,1
101682,101679,1
101682,101680,1
101682,101681,1
101682,201682,1
101683,101672,1
101683,101673,1
101683,101674,1
101683,101675,1
101683,101676,1
101683,101677,1
101683,101678,1
101683,101679,1
101683,101680,1
101683,101681,1
101683,101682,1
101683,201683,1
101684,101673,1
101684,101674,1
101684,101675,1
101684,101676,1
101684,101677,1
101684,101678,1
101684,101679,1
101684,101680,1
101684,101681,1
101684,101682,1
101684,101683,1
101684,201684,1
101685,101674,1
101685,101675,1
101685,101676,1
101685,101677,1
101685,101678,1
101685,101679,1
101685,101680,1
101685,101681,1
101685,101682,1
101685,101683,1
101685,101684,1
101685,201685,1
101686,101675,1
101686,101676,1
101686,101677,1
101686,101678,1
101686,101679,1
101686,101680,1
101686,101681,1
101686,101682,1
101686,101683,1
101686,101684,1
101686,101685,1
101686,201686,1
101687,101675,1
101687,101676,1
101687,101677,1
101687,101678,1
101687,101679,1
101687,101680,1
101687,101681,1
101687,101682,1
101687,101683,1
101687,101684,1
101687,101685,1
101687,101686,1
101687,201687,1
101688,101677,1
101688,101678,1
101688,101679,1
101688,101680,1
101688,101681,1
101688,101682,1
101688,101683,1
101688,101684,1
101688,101685,1
101688,101686,1
101688,101687,1
101688,201688,1
101689,101677,1
101689,101678,1
101689,101679,1
101689,101680,1
101689,101681,1
101689,101682,1
101689,101683,1
101689,101684,1
101689,101685,1
101689,101686,1
101689,101687,1
101689,101688,1
101689,201689,1
101690,101677,1
101690,101678,1
101690,101679,1
101690,101680,1
101690,101681,1
101690,101682,1
101690,101683,1
101690,101684,1
101690,101685,1
101690,101686,1
101690,101687,1
101690,101688,1
101690,101689,1
101690,201690,1
101691,101679,1
101691,101680,1
101691,101681,1
101691,101682,1
101691,101683,1
101691,101684,1
101691,101685,1
101691,101686,1
101691,101687,1
101691,101688,1
101691,101689,1
101691,101690,1
101691,201691,1
101692,101680,1
101692,101681,1
101692,101682,1
101692,101683,1
101692,101684,1
101692,101685,1
101692,101686,1
101692,101687,1
101692,101688,1
101692,101689,1
101692,101690,1
101692,101691,1
101692,201692,1
101693,101682,1
101693,101683,1
101693,101684,1
101693,101685,1
101693,101686,1
101693,101687,1
101693,101688,1
101693,101689,1
101693,101690,1
101693,101691,1
101693,101692,1
101693,201693,1
101694,101682,1
101694,101683,1
101694,101684,1
101694,101685,1
101694,101686,1
101694,101687,1
101694,101688,1
101694,101689,1
101694,101690,1
101694,101691,1
101694,101692,1
101694,101693,1
101694,201694,1
101695,101682,1
101695,101683,1
101695,101684,1
101695,101685,1
101695,101686,1
101695,101687,1
101695,101688,1
101695,101689,1
101695,101690,1
101695,101691,1
101695,101692,1
101695,101693,1
101695,101694,1
101695,201695,1
101696,101682,1
101696,101683,1
101696,101684,1
101696,101685,1
101696,101686,1
101696,101687,1
101696,101688,1
101696,101689,1
101696,101690,1
101696,101691,1
101696,101692,1
101696,101693,1
101696,101694,1
101696,101695,1
101696,201696,1
101697,101683,1
101697,101684,1
101697,101685,1
101697,101686,1
101697,101687,1
101697,101688,1
101697,101689,1
101697,101690,1
101697,101691,1
101697,101692,1
101697,101693,1
101697,101694,1
101697,101695,1
101697,101696,1
101697,201697,1
101698,101683,1
101698,101684,1
101698,101685,1
101698,101686,1
101698,101687,1
101698,101688,1
101698,101689,1
101698,101690,1
101698,101691,1
101698,101692,1
101698,101693,1
101698,101694,1
101698,101695,1
101698,101696,1
101698,101697,1
101698,201698,1
101699,101684,1
101699,101685,1
101699,101686,1
101699,101687,1
101699,101688,1
101699,101689,1
101699,101690,1
101699,101691,1
101699,101692,1
101699,101693,1
101699,101694,1
101699,101695,1
101699,101696,1
101699,101697,1
101699,101698,1
101699,201699,1
101700,101684,1
101700,101685,1
101700,101686,1
101700,101687,1
101700,101688,1
101700,101689,1
101700,101690,1
