id,cost,status
3507,603.553,0
3508,1486.396,0
3509,1453.553,0
3510,1683.883,0
3511,1900.305,0
3512,1875.305,0
3513,2085.66,0
3514,1390.685,0
3515,416.421,0
3516,1937.437,0
3517,1881.371,0
3518,1317.462,0
3519,859.619,0
3520,25,0
3521,1944.239,0
3522,1373.528,0
3523,60.355,0
3524,690.685,0
3525,1288.173,0
3526,466.421,0
3527,1989.949,0
3528,532.843,0
3529,624.264,0
3530,301.777,0
3531,100,0
3532,1935.66,0
3533,466.421,0
3534,1734.924,0
3535,593.198,0
3536,1226.041,0
3537,1230.33,0
3538,1255.33,0
3539,1280.33,0
3540,156.066,0
3541,1582.107,0
3542,491.421,0
3543,874.264,0
3544,1808.883,0
3545,216.421,0
3546,2010.66,0
3547,156.066,0
3548,287.132,0
3549,416.421,0
3550,457.843,0
3551,1019.975,0
3552,1421.751,0
3553,291.421,0
3554,1068.198,0
3555,510.355,0
3556,241.421,0
3557,156.066,0
3558,612.132,0
3559,1363.909,0
3560,637.132,0
3561,482.843,0
3562,826.041,0
3563,245.711,0
3564,387.132,0
3565,1807.107,0
3566,828.553,0
3567,2064.949,0
3568,1996.016,0
3569,2002.082,0
3570,206.066,0
3571,603.553,0
3572,582.843,0
3573,774.264,0
3574,2114.214,0
3575,201.777,0
3576,622.487,0
3577,657.843,0
3578,944.975,0
3579,2173.528,0
3580,551.777,0
3581,682.843,0
3582,2408.147,0
3583,1615.685,0
3584,1652.818,0
3585,1030.33,0
3586,653.553,0
3587,320.711,0
3588,210.355,0
3589,1688.173,0
3590,413.909,0
3592,603.553,0
3593,618.198,0
3594,1030.33,0
3595,1571.751,0
3596,326.777,0
3597,951.041,0
3598,607.843,0
3599,1298.528,0
3600,1009.619,0
3601,1332.107,0
3602,1132.107,0
3603,341.421,0
3604,493.198,0
3605,653.553,0
3606,1261.396,0
3607,493.198,0
3608,588.909,0
3609,516.421,0
3610,753.553,0
3611,1827.818,0
3612,553.553,0
3613,416.421,0
3614,1563.173,0
3615,387.132,0
3616,1623.528,0
3617,734.619,0
3618,1238.173,0
3619,968.198,0
3620,574.264,0
3621,922.487,0
3622,915.685,0
3623,1829.594,0
3624,1371.751,0
3625,422.487,0
3626,1298.528,0
3627,1227.818,0
3628,476.777,0
3629,934.619,0
3630,1589.949,0
3631,1590.685,0
3632,1418.198,0
3633,1224.264,0
3634,1168.198,0
3635,200,0
3636,1635.66,0
3637,1540.685,0
3638,1542.462,0
3639,588.909,0
3640,131.066,0
3641,1598.528,0
3642,772.487,0
3643,976.041,0
3644,120.711,0
3645,863.909,0
3646,1544.239,0
3647,485.355,0
3648,488.909,0
3649,778.553,0
3650,2325.305,0
3651,1917.462,0
3652,501.777,0
3653,1380.33,0
3654,2046.751,0
3655,2185.66,0
3656,963.909,0
3657,1371.751,0
3658,1351.041,0
3659,1351.041,0
3660,869.975,0
3661,861.396,0
3662,353.553,0
3663,1658.883,0
3664,1690.685,0
3665,631.066,0
3666,500,0
3667,793.198,0
3668,175,0
3669,643.198,0
3670,1432.107,0
3671,588.909,0
3672,813.909,0
3673,95.711,0
3674,1601.041,0
3675,391.421,0
3676,518.198,0
3677,2229.594,0
3678,1099.264,0
3679,597.487,0
3680,312.132,0
3681,1024.264,0
3682,899.264,0
3683,220.711,0
3684,220.711,0
3685,2182.107,0
3686,1346.751,0
3687,1892.462,0
3688,603.553,0
3689,644.975,0
3690,320.711,0
3691,387.132,0
3692,1038.909,0
3693,1908.883,0
3694,1794.975,0
3695,372.487,0
3696,993.198,0
3697,657.843,0
3698,1093.198,0
3699,1808.883,0
3700,1115.685,0
3701,556.066,0
3702,1426.041,0
3703,1388.909,0
3704,216.421,0
3705,1534.619,0
3706,1519.975,0
3707,1109.619,0
3708,382.843,0
3709,1509.619,0
3710,656.066,0
3711,632.843,0
3712,645.711,0
3713,35.355,0
3714,1319.239,0
3715,819.975,0
3716,1939.949,0
3717,1608.148,0
3718,345.711,0
3719,1053.553,0
3720,156.066,0
3721,790.685,0
3722,815.685,0
3723,612.132,0
3724,270.711,0
3725,680.33,0
3727,457.843,0
