WP4,campaign,flo_rip,pu
3507,1,0.23507805325840217,103507
3508,1,0.20661157024793386,103508
3509,1,0.20661157024793386,103509
3510,1,0.17998163452837462,103510
3511,1,0.1322314049586777,103511
3512,1,0.1322314049586777,103512
3513,1,0.1111111111121212,103513
3514,1,0.15518824609614323,103514
3515,1,0.1111111111121212,103515
3516,1,0.1111111111121212,103516
3517,1,0.091827364553719,103517
3518,1,0.091827364553719,103518
3519,1,0.091827364553719,103519
3520,1,0.23507805325840217,103520
3521,1,0.07438016528925619,103521
3522,1,0.07438016528925619,103522
3523,1,0.07438016528925619,103523
3524,1,0.07438016528925619,103524
3525,1,0.058769513315702473,103525
3526,1,0.058769513315702473,103526
3527,1,0.058769513315702473,103527
3528,1,0.03305785123966942,103528
3529,1,0.03305785123966942,103529
3530,1,0.03305785123966942,103530
3531,1,0.03305785123966942,103531
3532,1,0.03305785123966942,103532
3533,1,0.03305785123966942,103533
3534,1,0.03305785123966942,103534
3535,1,0.03305785123966942,103535
3536,1,0.03305785123966942,103536
3537,1,0.03305785123966942,103537
3538,1,0.03305785123966942,103538
3539,1,0.03305785123966942,103539
3540,1,0.014692378328374653,103540
3541,1,0.014692378328374653,103541
3542,1,0.02295684113911845,103542
3543,1,0.014692378328374653,103543
3544,1,0.014692378328374653,103544
3545,1,0.014692378328374653,103545
3546,1,0.014692378328374653,103546
3547,1,0.014692378328374653,103547
3548,1,0.014692378328374653,103548
3549,1,0.014692378328374653,103549
3550,1,0.014692378328374653,103550
3551,1,0.02295684113911845,103551
3552,1,0.02295684113911845,103552
3553,1,0.02295684113911845,103553
3554,1,0.02295684113911845,103554
3555,1,0.02295684113911845,103555
3556,1,0.02295684113911845,103556
3557,1,0.02295684113911845,103557
3558,1,0.02295684113911845,103558
3559,1,0.03305785123966942,103559
3560,1,0.04499540863112947,103560
3561,1,0.04499540863112947,103561
3562,1,0.04499540863112947,103562
3563,1,0.04499540863112947,103563
3564,1,0.04499540863112947,103564
3565,1,0.04499540863112947,103565
3566,1,0.058769513315702473,103566
3567,1,0.091827364553719,103567
3568,1,0.1111111111121212,103568
3569,1,0.1111111111121212,103569
3570,1,0.1111111111121212,103570
3571,1,0.1111111111121212,103571
3572,1,0.04499540863112947,103572
3573,1,0.04499540863112947,103573
3574,1,0.04499540863112947,103574
3575,1,0.091827364553719,103575
3576,1,0.058769513315702473,103576
3577,1,0.07438016528925619,103577
3578,1,0.058769513315702473,103578
3579,1,0.04499540863112947,103579
3580,1,0.04499540863112947,103580
3581,1,0.04499540863112947,103581
3582,1,0.02295684113911845,103582
3583,1,0.03305785123966942,103583
3584,1,0.091827364553719,103584
3585,1,0.04499540863112947,103585
3586,1,0.091827364553719,103586
3587,1,0.091827364553719,103587
3588,1,0.1111111111121212,103588
3589,1,0.1111111111121212,103589
3590,1,0.1111111111121212,103590
3592,1,0.1111111111121212,103592
3593,1,0.058769513315702473,103593
3594,1,0.1322314049586777,103594
3595,1,0.03305785123966942,103595
3596,1,0,103596
3597,1,0.02295684113911845,103597
3598,1,0.03305785123966942,103598
3599,1,0.03305785123966942,103599
3600,1,0.02295684113911845,103600
3601,1,0.014692378328374653,103601
3602,1,0.03305785123966942,103602
3603,1,0.058769513315702473,103603
3604,1,0.07438016528925619,103604
3605,1,0.04499540863112947,103605
3606,1,0.07438016528925619,103606
3607,1,0.07438016528925619,103607
3608,1,0.07438016528925619,103608
3609,1,0.07438016528925619,103609
3610,1,0.058769513315702473,103610
3611,1,0.02295684113911845,103611
3612,1,0.04499540863112947,103612
3613,1,0.04499540863112947,103613
3614,1,0.058769513315702473,103614
3615,1,0.04499540863112947,103615
3616,1,0.04499540863112947,103616
3617,1,0.014692378328374653,103617
3618,1,0.02295684113911845,103618
3619,1,0.03305785123966942,103619
3620,1,0.02295684113911845,103620
3621,1,0.014692378328374653,103621
3622,1,0.008264462809917356,103622
3623,1,0.02295684113911845,103623
3624,1,0.04499540863112947,103624
3625,1,0.02295684113911845,103625
3626,1,0.03305785123966942,103626
3627,1,0.03305785123966942,103627
3628,1,0.014692378328374653,103628
3629,1,0.02295684113911845,103629
3630,1,0.014692378328374653,103630
3631,1,0.02295684113911845,103631
3632,1,0.03305785123966942,103632
3633,1,0.014692378328374653,103633
3634,1,0.014692378328374653,103634
3635,1,0.014692378328374653,103635
3636,1,0.014692378328374653,103636
3637,1,0.02295684113911845,103637
3638,1,0.008264462809917356,103638
3639,1,0.02295684113911845,103639
3640,1,0.03305785123966942,103640
3641,1,0.03305785123966942,103641
3642,1,0.058769513315702473,103642
3643,1,0.058769513315702473,103643
3644,1,0.07438016528925619,103644
3645,1,0.07438016528925619,103645
3646,1,0.058769513315702473,103646
3647,1,0.058769513315702473,103647
3648,1,0.17998163452837462,103648
3649,1,0.1111111111121212,103649
3650,1,0.091827364553719,103650
3651,1,0.014692378328374653,103651
3652,1,0,103652
3653,1,0.014692378328374653,103653
3654,1,0.02295684113911845,103654
3655,1,0.02295684113911845,103655
3656,1,0.03305785123966942,103656
3657,1,0.03305785123966942,103657
3658,1,0.02295684113911845,103658
3659,1,0.02295684113911845,103659
3660,1,0.04499540863112947,103660
3661,1,0.014692378328374653,103661
3662,1,0.02295684113911845,103662
3663,1,0.04499540863112947,103663
3664,1,0.04499540863112947,103664
3665,1,0.058769513315702473,103665
