WP4,campaign,flo_sl,pu
3507,1,0.003881082351536335,103507
3508,1,0.0019712248078735156,103508
3509,1,0.0019451346915678796,103509
3510,1,6.55201912266254e-4,103510
3511,1,6.007759553243315e-4,103511
3512,1,0.0015595827220227067,103512
3513,1,0.04782424540359836,103513
3514,1,0.0643831465511305,103514
3515,1,0.008013526019775572,103515
3516,1,0.11422079280829289,103516
3517,1,0.1950091826030231,103517
3518,1,0.19468626876029574,103518
3519,1,0.03559366916730263,103519
3520,1,0.0037773546902076568,103520
3521,1,0.21800090514733333,103521
3522,1,0.33935107020179367,103522
3523,1,0.14728853336662662,103523
3524,1,0.2788262355098377,103524
3525,1,0.3696051356615222,103525
3526,1,0.25441973816613367,103526
3527,1,0.5551408693974977,103527
3528,1,0.6539094855496836,103528
3529,1,0.5026834133505562,103529
3530,1,0.629348893348362,103530
3531,1,0.5569875906574674,103531
3532,1,0.49826828030719095,103532
3533,1,0.4665175174760531,103533
3534,1,0.6473943131585586,103534
3535,1,0.6653245695840689,103535
3536,1,0.5037708692230631,103536
3537,1,0.5827255928928654,103537
3538,1,0.7971141224222189,103538
3539,1,0.6040469446785309,103539
3540,1,1,103540
3541,1,0.6953774745619847,103541
3542,1,0.7103037275062435,103542
3543,1,0.5873388063520412,103543
3544,1,0.33793903396696523,103544
3545,1,0.1010103768035033,103545
3546,1,0.061468360567595574,103546
3547,1,0.012825953390208634,103547
3548,1,0.046373761077398226,103548
3549,1,0.018404999989603803,103549
3550,1,0.08215075871338724,103550
3551,1,0.14743939644851586,103551
3552,1,0.16927569469020595,103552
3553,1,0.0862661455470879,103553
3554,1,0.026045986085357156,103554
3555,1,0.01204343338696736,103555
3556,1,0,103556
3557,1,0.0076832849187527036,103557
3558,1,0.02174935589529254,103558
3559,1,0.02890515784273914,103559
3560,1,0.03233060457527071,103560
3561,1,0.0675903640976011,103561
3562,1,0.0312127512419388,103562
3563,1,0,103563
3564,1,0.04887836575304329,103564
3565,1,0.09930530142497826,103565
3566,1,0.23854525411915814,103566
3567,1,0.08926343918040819,103567
3568,1,0.17928587828716933,103568
3569,1,0.08506814014493663,103569
3570,1,0.05570351802180635,103570
3571,1,0.03590197733234841,103571
3572,1,0.051366320255346896,103572
3573,1,0.1144324419713715,103573
3574,1,0.058470777239174994,103574
3575,1,0.05082693023429734,103575
3576,1,0.010121115986564318,103576
3577,1,0.013618490995615382,103577
3578,1,0.01974990943091638,103578
3579,1,0.028999624163140492,103579
3580,1,0.11309257480743207,103580
3581,1,0.050807182870424565,103581
3582,1,0.021489890534349798,103582
3583,1,0.01616128584373358,103583
3584,1,0.031810505367023574,103584
3585,1,0.13343867409644158,103585
3586,1,0.01474244233044074,103586
3587,1,0.005535093992010824,103587
3588,1,0.042990401615020685,103588
3589,1,0.09863081135822994,103589
3590,1,0.05350809665500558,103590
3592,1,0.11650594021568163,103592
3593,1,0.011832722178233968,103593
3594,1,0.08871140093279967,103594
3595,1,0.06363838669067444,103595
3596,1,0.008825596839710785,103596
3597,1,0.017447821907800296,103597
3598,1,0.022989060700107585,103598
3599,1,0.006705698602265028,103599
3600,1,0.01613590314975673,103600
3601,1,0.045516330594918025,103601
3602,1,0.028808860063236994,103602
3603,1,0.010602824411881531,103603
3604,1,0.057033225023422125,103604
3605,1,0.018456775044731647,103605
3606,1,0.09959439784679763,103606
3607,1,0.09071009119775908,103607
3608,1,0.12966228474746125,103608
3609,1,0.06915073324970722,103609
3610,1,0.06498411384370098,103610
3611,1,0.026202493708739696,103611
3612,1,0.10951635030654913,103612
3613,1,0.044878875629525944,103613
3614,1,0.03612533670581936,103614
3615,1,0.09293136670856549,103615
3616,1,0.06697957758775137,103616
3617,1,0.0682253721099917,103617
3618,1,0.04220586876867855,103618
3619,1,0.026294463371730564,103619
3620,1,0.025973363616289376,103620
3621,1,0.04811005249396202,103621
3622,1,0.0679275810640577,103622
3623,1,0.0717438101042193,103623
3624,1,0.06058432740754712,103624
3625,1,0.015993523757350806,103625
3626,1,0.08873532179785171,103626
3627,1,0.054921285178987804,103627
3628,1,0.06975478994331209,103628
3629,1,0.03451996664077708,103629
3630,1,0.058844306862057806,103630
3631,1,0.05548674089688831,103631
3632,1,0.0627889487266208,103632
3633,1,0.015884010787191358,103633
3634,1,0.06578162232275896,103634
3635,1,0.0827029024283114,103635
3636,1,0.026860893271319183,103636
3637,1,0.046502614193840684,103637
3638,1,0.015011852529756155,103638
3639,1,0.09252990920449301,103639
3640,1,0.006521874325916602,103640
3641,1,0.09507835347799545,103641
3642,1,0.14017402514978913,103642
3643,1,0.07377956724673672,103643
3644,1,0.276275238939661,103644
3645,1,0.05627496479017097,103645
3646,1,0.010368118399696622,103646
3647,1,0.012700074501524468,103647
3648,1,0.0899299762326072,103648
3649,1,0.12092243314447619,103649
3650,1,0.16110704559921735,103650
3651,1,0.05864060916799334,103651
3652,1,0.122947105214641,103652
3653,1,0.02971670874466464,103653
3654,1,0.15074025370139163,103654
3655,1,0.06405570441418487,103655
3656,1,0.09630913380671491,103656
3657,1,0.12408114703906745,103657
3658,1,0.13802267354193376,103658
3659,1,0.1151946247727221,103659
3660,1,0.0758598495246632,103660
3661,1,0.04610882625317901,103661
3662,1,0.41431266183221976,103662
3663,1,0.30693823054730895,103663
3664,1,0.1637255460734759,103664
3665,1,0.22971794241551496,103665
3666,1,0.198028541531947,103666
3667,1,0.16931435186156676,103667
3668,1,0.07559350486332014,103668
3669,1,0.15518303234941486,103669
3670,1,0.1773797739209583,103670
3671,1,0.08147480731228537,103671
3672,1,0.01855811250510795,103672
3673,1,0,103673
3674,1,0.0633893675396928,103674
3675,1,0.06996311299119945,103675
3676,1,0.04406741220488745,103676
