WP4,campaign,value,pu
736,1,0.117945862583008,100736
739,1,0.160025328906253,100739
740,1,0.160025328906253,100740
741,1,0.160025328906253,100741
742,1,0.157197946303558,100742
743,1,0.149371567676686,100743
744,1,0.148491027131831,100744
745,1,0.141347065970434,100745
746,1,0.149040833563456,100746
747,1,0.161617832529445,100747
748,1,0.159388289342565,100748
749,1,0.142952501268568,100749
750,1,0.120155064784092,100750
751,1,0.14144417740459,100751
752,1,0.143324411328258,100752
753,1,0.139539745869896,100753
754,1,0.139189877450611,100754
755,1,0.135363472899347,100755
756,1,0.141418269981909,100756
757,1,0.13599240164635,100757
758,1,0.135221688736909,100758
759,1,0.136211109237237,100759
760,1,0.136211109237237,100760
761,1,0.138863841881375,100761
762,1,0.13460882777316,100762
763,1,0.13548601217827,100763
764,1,0.131334914007162,100764
765,1,0.13321776235865,100765
766,1,0.132136887106059,100766
767,1,0.130374680071461,100767
768,1,0.130374680071461,100768
769,1,0.115805946772742,100769
770,1,0.119355451482118,100770
771,1,0.112686121721073,100771
772,1,0.114922760490176,100772
773,1,0.115974074224459,100773
774,1,0.104167579168365,100774
775,1,0.0990731310290912,100775
776,1,0.103290827451749,100776
777,1,0.103290827451749,100777
778,1,0.103290827451749,100778
779,1,0.091626878161348,100779
780,1,0.0909208516851076,100780
781,1,0.0905989200806637,100781
782,1,0.088742410626332,100782
783,1,0.0850710787806055,100783
784,1,0.0834912029366936,100784
785,1,0.0873073990175812,100785
786,1,0.0769887834901022,100786
787,1,0.0851944466056627,100787
788,1,0.0885476170298403,100788
789,1,0.0782717525357381,100789
790,1,0.0827416089119088,100790
791,1,0.10339008778551,100791
792,1,0.0817060024674271,100792
793,1,0.0979825283492942,100793
794,1,0.0945706615086704,100794
795,1,0.101322968258064,100795
796,1,0.0944884136192021,100796
797,1,0.0939734791162697,100797
798,1,0.087756968216625,100798
799,1,0.092744823161688,100799
800,1,0.0949810458619965,100800
801,1,0.115562688892006,100801
802,1,0.107677091015523,100802
803,1,0.0933608877287038,100803
804,1,0.11624337546154,100804
805,1,0.137891682738479,100805
806,1,0.10513335140612701,100806
807,1,0.0900699435478344,100807
808,1,0.0941325364936414,100808
809,1,0.0895516134447783,100809
810,1,0.0896827607638409,100810
811,1,0.139280822172293,100811
812,1,0.113916924926025,100812
813,1,0.147765843841634,100813
814,1,0.107821547973439,100814
815,1,0.0946130705062926,100815
816,1,0.124222393043284,100816
817,1,0.121179790642011,100817
818,1,0.100626729570039,100818
819,1,0.0703380064378687,100819
820,1,0.0734132762711041,100820
821,1,0.0917492327695692,100821
822,1,0.106429424453173,100822
823,1,0.0904790844044936,100823
824,1,0.121332055724431,100824
825,1,0.121332055724431,100825
826,1,0.167674025407713,100826
827,1,0.138547512204554,100827
828,1,0.112181348800669,100828
829,1,0.138433691844435,100829
830,1,0.115076419383254,100830
