WP4,campaign,co2,pu
3507,1,34.42684297710717,103507
3507,2,33.77747334815534,203507
3507,3,54.386084388276466,303507
3507,4,65.4658120100779,403507
3507,5,22.267433799868726,503507
3507,6,30.098478554774978,603507
3508,1,34.54144567940013,103508
3508,2,34.035724984430715,203508
3508,3,52.50963942088214,303508
3508,4,60.88500489727859,403508
3508,5,20.05537549969565,503508
3508,6,29.38258305364691,603508
3509,1,34.16553467412271,103509
3509,2,35.88513640994988,203509
3509,3,51.066854892944306,303509
3509,4,58.56904081365246,403509
3509,5,18.64880412044103,503509
3509,6,28.414639215679856,603509
3510,1,35.06233313756013,103510
3510,2,37.44311245900569,203510
3510,3,52.928787906342336,303510
3510,4,60.747670392279105,403510
3510,5,19.21785198209303,503510
3510,6,29.098860494758064,603510
3511,1,35.18995388729786,103511
3511,2,37.63254093884176,203511
3511,3,52.737867685108185,303511
3511,4,60.8661972347457,403511
3511,5,18.660168537691113,503511
3511,6,28.545139253094945,603511
3512,1,34.875659870961115,103512
3512,2,37.28005471325025,203512
3512,3,51.09993825393816,303512
3512,4,61.826831960503895,403512
3512,5,17.661246219732256,503512
3512,6,25.093588938224656,603512
3513,1,35.99393845067043,103513
3513,2,38.15278916498126,203513
3513,3,45.970378671348584,303513
3513,4,61.24206081242671,403513
3513,5,15.989597125742387,503513
3513,6,24.56529344698444,603513
3514,1,33.69095112500163,103514
3514,2,35.73234271663602,203514
3514,3,39.855212599070356,303514
3514,4,59.706385432405504,403514
3514,5,15.396706325153282,503514
3514,6,25.375083697818813,603514
3515,1,33.873439278292906,103515
3515,2,36.472943340409444,203515
3515,3,41.93984358738919,303515
3515,4,52.384722824215075,403515
3515,5,20.866228612707857,503515
3515,6,31.769326473042184,603515
3516,1,36.729721924181206,103516
3516,2,38.146022089147664,203516
3516,3,41.34638275251694,303516
3516,4,52.244962357223784,403516
3516,5,24.052864967820007,503516
3516,6,34.36337709614728,603516
3517,1,34.92297962355171,103517
3517,2,34.95384856124196,203517
3517,3,39.57764814138249,303517
3517,4,51.381040745479794,403517
3517,5,23.1822467873123,503517
3517,6,32.322500803965035,603517
3518,1,38.11217165311807,103518
3518,2,38.29994478898103,203518
3518,3,41.41101690579467,303518
3518,4,53.4575839566307,403518
3518,5,25.032946224973504,503518
3518,6,34.396602060168604,603518
3519,1,33.8979970486796,103519
3519,2,34.15807139233165,203519
3519,3,38.57655135778627,303519
3519,4,55.57487208351194,403519
3519,5,21.353244691974773,503519
3519,6,32.09318428881288,603519
3520,1,29.663410228363357,103520
3520,2,28.282524975596466,203520
3520,3,42.009854421741494,303520
3520,4,49.53952043254996,403520
3520,5,18.686586295406386,503520
3520,6,28.666707863228538,603520
3521,1,32.8476482008738,103521
3521,2,33.21791011223077,203521
3521,3,38.463680440717276,303521
3521,4,46.04966910172817,403521
3521,5,26.01816895446286,503521
3521,6,30.71196656529503,603521
3522,1,37.962965368759995,103522
3522,2,39.607944603189175,203522
3522,3,41.0024031108574,303522
3522,4,49.35054778304316,403522
3522,5,27.489662010503764,503522
3522,6,34.842249982568106,603522
3523,1,31.845503575075092,103523
3523,2,33.90512177307626,203523
3523,3,37.97459361166007,303523
3523,4,47.55792940198731,403523
3523,5,27.343279349952596,503523
3523,6,29.59791697346008,603523
3524,1,31.071516157796935,103524
3524,2,32.9688260975084,203524
3524,3,37.33740194434789,303524
3524,4,47.57246586242444,403524
3524,5,26.320273869373665,503524
3524,6,28.860062914713104,603524
3525,1,35.19410666237013,103525
3525,2,36.95333154821245,203525
3525,3,39.71991677855421,303525
3525,4,48.686297645389935,403525
3525,5,26.486698052994875,503525
3525,6,32.50985587338362,603525
3526,1,37.94498626694874,103526
3526,2,39.99734928708573,203526
3526,3,43.208353395485275,303526
3526,4,49.949643207973324,403526
3526,5,29.723922057041687,503526
3526,6,35.51810118483012,603526
3527,1,40.59777332382964,103527
3527,2,42.817243645657754,203527
3527,3,42.24181833955102,303527
3527,4,51.71305080063777,403527
3527,5,30.62980275601628,503527
3527,6,37.84366362902941,603527
3528,1,29.17360884378926,103528
3528,2,29.518683003586172,203528
3528,3,33.16612852489755,303528
3528,4,46.12749138730347,403528
3528,5,25.898818735484376,503528
3528,6,27.35012942624146,603528
3529,1,39.47500537629729,103529
3529,2,41.09504771264607,203529
3529,3,42.05313106116948,303529
3529,4,51.44952794443513,403529
3529,5,33.07092382212203,503529
3529,6,37.14686072776207,603529
3530,1,28.497551563651804,103530
3530,2,29.291129273745796,203530
3530,3,33.088097839254715,303530
3530,4,45.64782857895156,403530
3530,5,26.564676562912624,503530
3530,6,26.840199662917414,603530
3531,1,38.317225285301085,103531
3531,2,39.938405176592326,203531
3531,3,42.220006428657385,303531
3531,4,52.404836520564324,403531
3531,5,32.48721510451771,503531
3531,6,36.04801425922197,603531
3532,1,39.37305288021468,103532
3532,2,40.448006364141975,203532
3532,3,42.2303153249612,303532
3532,4,53.442672025245585,403532
3532,5,33.62305729479597,503532
3532,6,37.025298249292206,603532
3533,1,27.66263227142506,103533
3533,2,27.614249507186393,203533
3533,3,32.52354018907967,303533
3533,4,46.53929552851361,403533
3533,5,26.82983755700539,503533
3533,6,25.97158566654157,603533
3534,1,27.480509125832576,103534
3534,2,27.505030688322996,203534
3534,3,32.407963604469046,303534
3534,4,47.37786827325667,403534
3534,5,26.496956043584774,503534
3534,6,25.958244531481224,603534
3535,1,31.147282434691682,103535
3535,2,32.28325649321426,203535
3535,3,35.66875333719671,303535
3535,4,49.06533845556916,403535
3535,5,28.53244219007945,503535
3535,6,29.450490969533874,603535
3536,1,30.896032238294396,103536
3536,2,32.441859096766464,203536
3536,3,35.44064403155958,303536
3536,4,49.40802222719307,403536
3536,5,27.821408309505774,503536
3536,6,29.224216672991638,603536
3537,1,32.01004818178673,103537
3537,2,33.705725799940595,203537
3537,3,36.60895630178773,303537
3537,4,50.89274342599292,403537
3537,5,27.54646696290279,503537
3537,6,29.497065017679574,603537
3538,1,32.10062286561112,103538
3538,2,34.09058148336098,203538
3538,3,36.874316495517164,303538
3538,4,50.72729288781566,403538
3538,5,28.22567073757383,503538
3538,6,30.267381757364426,603538
3539,1,32.454694642030745,103539
3539,2,34.50163668527624,203539
3539,3,37.286304674385065,303539
3539,4,51.86863159999159,403539
3539,5,28.133429294855738,503539
3539,6,30.087686818675607,603539
3540,1,55.850903617678675,103540
3540,2,59.42927529189123,203540
3540,3,56.91847504752481,303540
3540,4,64.70917247200089,403540
3540,5,43.87392297591184,503540
3540,6,51.586432724754395,603540
3541,1,39.37764467513897,103541
3541,2,34.40694015935119,203541
3541,3,36.97911679334584,303541
3541,4,52.208287340509145,403541
3541,5,25.270448927883837,503541
3541,6,31.597209087980687,603541
3542,1,36.52519115036568,103542
3542,2,34.68475772142642,203542
3542,3,38.048441668434904,303542
3542,4,54.11469561062505,403542
