WP4,campaign,value,value_sd,pu
1143,3,1358.5705305925435,64.50263117045068,301143
1144,3,747.7968900248594,49.22864368164832,301144
1145,3,2896.9303614781975,95.6652307182751,301145
1146,3,875.9751221630677,100.2044900355699,301146
1147,3,115.51037452099402,13.981626375884586,301147
1148,3,895.6181088645344,81.91997081699391,301148
1149,3,1715.524322901558,28.179546053957708,301149
1150,3,360.0252908847498,10.268945311497943,301150
1151,3,400.3738655437229,9.482419901844084,301151
1152,3,605.7124579145432,27.44413345765796,301152
1153,3,5671.278471610846,126.81835703361078,301153
1154,3,418.6216312138282,17.412893355926357,301154
1155,3,551.7287416921356,23.80448893320821,301155
1156,3,562.0988802900091,9.188580070765934,301156
1157,3,4142.289188045897,68.1805556180546,301157
1158,3,942.2025612169665,23.159435408755513,301158
1159,3,531.148885831114,16.56409969657664,301159
1160,3,231.09344237432717,5.7884251706582415,301160
1161,3,2605.432160820766,29.642673059102275,301161
1162,3,3784.1331535870945,105.22097462248827,301162
1163,3,3402.996155348336,84.80288094197384,301163
1164,3,7790.770375264893,175.6241702291839,301164
1165,3,5882.5873666794905,73.55532538915199,301165
1166,3,7243.135015200305,230.32604737792303,301166
1167,3,1264.0417861279573,30.18889965936848,301167
1168,3,386.9981166529698,13.115944998086716,301168
633,4,4166.463741739385,47.88414518971711,400633
634,4,1173.0354528431526,15.07439025132119,400634
635,4,77659.53203656632,3909.3531771761714,400635
636,4,79497.10707364505,3718.9219648093904,400636
637,4,81697.75329436145,4255.573203434988,400637
638,4,33859.92718831778,1016.5788885252522,400638
639,4,58403.012043943236,1887.1586685970794,400639
640,4,58581.10352008986,2109.41134630634,400640
641,4,2524.6690646509946,35.26405153383878,400641
642,4,35161.11680218603,3547.960506443199,400642
643,4,34790.26218344991,4243.180456090602,400643
644,4,10635.716229531405,428.4341114839296,400644
645,4,53681.30301492698,4132.984738216322,400645
646,4,22479.100010380418,1521.2804621528544,400646
647,4,99556.12656889507,12559.766824493085,400647
648,4,16714.326613660905,1602.3786500652113,400648
649,4,12448.425534716233,831.3359076184448,400649
650,4,21680.318627687826,705.6111887107024,400650
651,4,34593.126687274096,1660.044812953506,400651
652,4,49293.774846952256,3286.2379413539484,400652
653,4,8008.7150698801,236.20962994642773,400653
654,4,19539.057503636228,1976.7824179050083,400654
655,4,39526.87448160306,1147.0809543572193,400655
656,4,1241.2306923519761,94.7711890600051,400656
657,4,35194.09802842277,4043.4067682206737,400657
658,4,6505.9344683862855,134.84386895664105,400658
659,4,5670.469000619221,494.0805539047115,400659
660,4,10786.356268146465,199.72192717162474,400660
661,4,26040.562595969102,505.73192690342825,400661
662,4,21520.520078994166,342.4702140986119,400662
663,4,9718.700807287058,265.78941733110474,400663
664,4,7940.408122238927,131.32109483526767,400664
665,4,5046.7360837857905,136.2242814004527,400665
666,4,47176.75137393089,728.4428358398003,400666
667,4,4812.455601282999,219.24775106461874,400667
668,4,4298.0344460408705,116.93385645746264,400668
669,4,5493.269743178937,79.78235842909444,400669
670,4,41578.67091359167,554.6772059069808,400670
671,4,12164.349339800423,175.21409850164676,400671
672,4,4783.202988615254,63.87611489942831,400672
673,4,34084.8204955609,802.5787281986902,400673
674,4,22125.789309070075,320.087644488237,400674
675,4,18833.627465496622,552.8061199626972,400675
676,4,40753.721003569306,507.114270233024,400676
677,4,18458.060278217938,311.60986222866956,400677
678,4,16321.828024277422,371.1280609444053,400678
679,4,28114.1919940875,355.95085728846016,400679
680,4,5668.6406908949475,75.79579554812813,400680
681,4,17849.144963882627,362.756785373274,400681
682,4,5942.968816170359,129.5585807712334,400682
683,4,76584.4093903463,1235.6150508236597,400683
684,4,4024.730476060398,80.62501427000355,400684
685,4,19685.87709684976,536.683755815088,400685
686,4,15904.76430375278,638.0916451690332,400686
687,4,8313.935699718551,301.4813374583114,400687
688,4,24773.05374841298,1290.5794717531628,400688
689,4,9049.651120258457,227.35510711228486,400689
690,4,24744.34053271602,1208.7139620479852,400690
691,4,7992.779368172642,403.55815837603313,400691
692,4,2150.273475526881,118.5773725771875,400692
693,4,488.6740873692596,27.388491807982902,400693
694,4,4064.309002072403,208.4874414675923,400694
695,4,1762.7459895421964,124.15019863924931,400695
696,4,860.7263164469833,63.206114855886135,400696
697,4,750.2202244744808,52.1912927282539,400697
698,4,1827.777442417134,134.66631189207325,400698
699,4,1849.7614653462574,82.13141303816188,400699
700,4,4756.2591677669625,272.6363730854093,400700
701,4,506.22117173582865,40.145133693563515,400701
