id1,id2,bound
107228,107227,0.9917
107228,207228,0.825
107229,107227,0.9917
107229,107228,1
107229,207229,1
107230,107227,0.9917
107230,107228,1
107230,107229,1
107230,207230,1
107231,107227,0.9917
107231,107228,1
107231,107229,1
107231,107230,1
107231,207231,1
107232,107227,0.9917
107232,107228,1
107232,107229,1
107232,107230,1
107232,107231,1
107232,207232,1
107233,107227,0.9917
107233,107228,1
107233,107229,1
107233,107230,1
107233,107231,1
107233,107232,1
107233,207233,1
107234,107227,0.9917
107234,107228,1
107234,107229,1
107234,107230,1
107234,107231,1
107234,107232,1
107234,107233,1
107234,207234,1
107235,107228,1
107235,107229,1
107235,107230,1
107235,107231,1
107235,107232,1
107235,107233,1
107235,107234,1
107235,207235,1
107236,107230,1
107236,107231,1
107236,107232,1
107236,107233,1
107236,107234,1
107236,107235,1
107236,207236,1
107237,107231,1
107237,107232,1
107237,107233,1
107237,107234,1
107237,107235,1
107237,107236,1
107237,207237,1
107238,107233,1
107238,107234,1
107238,107235,1
107238,107236,1
107238,107237,1
107238,207238,1
107239,107233,1
107239,107234,1
107239,107235,1
107239,107236,1
107239,107237,1
107239,107238,1
107239,207239,1
107240,107233,1
107240,107234,1
107240,107235,1
107240,107236,1
107240,107237,1
107240,107238,1
107240,107239,1
107240,207240,1
107241,107234,1
107241,107235,1
107241,107236,1
107241,107237,1
107241,107238,1
107241,107239,1
107241,107240,1
107241,207241,1
107242,107234,1
107242,107235,1
107242,107236,1
107242,107237,1
107242,107238,1
107242,107239,1
107242,107240,1
107242,107241,1
107242,207242,1
107243,107235,1
107243,107236,1
107243,107237,1
107243,107238,1
107243,107239,1
107243,107240,1
107243,107241,1
107243,107242,1
107243,207243,1
107244,107236,1
107244,107237,1
107244,107238,1
107244,107239,1
107244,107240,1
107244,107241,1
107244,107242,1
107244,207244,1
107245,107236,1
107245,107237,1
107245,107238,1
107245,107239,1
107245,107240,1
107245,107241,1
107245,107242,1
107245,107244,1
107245,207245,1
107246,107237,1
107246,107238,1
107246,107239,1
107246,107240,1
107246,107241,1
107246,107242,1
107246,107244,1
107246,107245,1
107246,207246,1
107247,107237,1
107247,107238,1
107247,107239,1
107247,107240,1
107247,107241,1
107247,107242,1
107247,107244,1
107247,107245,1
107247,107246,1
107247,207247,1
107249,107240,1
107249,107241,1
107249,107242,1
107249,107244,1
107249,107245,1
107249,107246,1
107249,107247,1
107249,207249,1
107250,107241,1
107250,107242,1
107250,107244,1
107250,107245,1
107250,107246,1
107250,107247,1
107250,107249,1
107250,207250,1
107251,107241,1
107251,107242,1
107251,107244,1
107251,107245,1
107251,107246,1
107251,107247,1
107251,107249,1
107251,107250,1
107251,207251,1
107252,107241,1
107252,107242,1
107252,107244,1
107252,107245,1
107252,107246,1
107252,107247,1
107252,107249,1
107252,107250,1
107252,207252,1
107253,107244,1
107253,107245,1
107253,107246,1
107253,107247,1
107253,107249,1
107253,107250,1
107253,107252,1
107253,207253,1
107254,107244,1
107254,107245,1
107254,107246,1
107254,107247,1
107254,107249,1
107254,107250,1
107254,107252,1
107254,207254,1
107255,107245,1
107255,107246,1
107255,107247,1
107255,107249,1
107255,107250,1
107255,107252,1
107255,207255,1
107256,107246,1
107256,107247,1
107256,107249,1
107256,107250,1
107256,207256,1
107257,107247,1
107257,107249,1
107257,107250,1
107257,107252,1
107257,107254,1
107257,107255,1
107257,107256,1
107257,207257,1
107258,107247,1
107258,107249,1
107258,107250,1
107258,107252,1
107258,107254,1
107258,107255,1
107258,107256,1
107258,207258,1
107259,107246,1
107259,107247,1
107259,107249,1
107259,107250,1
107259,107252,1
107259,107254,1
107259,107255,1
107259,207259,1
107260,107247,1
107260,107249,1
107260,107250,1
107260,107252,1
107260,107254,1
107260,107255,1
107260,107259,1
107260,207260,1
107261,107245,1
107261,107246,1
107261,107247,1
107261,107249,1
107261,107250,1
107261,107252,1
107261,107254,1
107261,207261,1
107262,107244,1
107262,107245,1
107262,107246,1
107262,107247,1
107262,107249,1
107262,107250,1
107262,107252,1
107262,207262,1
107263,107262,1
107263,207263,1
107264,107245,1
107264,107246,1
107264,107247,1
107264,107249,1
107264,107250,1
107264,107252,1
107264,207264,1
107265,107244,1
107265,107245,1
107265,107246,1
107265,107247,1
107265,107249,1
107265,107250,1
107265,107252,1
107265,207265,1
107266,107244,1
107266,107245,1
107266,107246,1
107266,107247,1
107266,107249,1
107266,107250,1
107266,207266,1
107267,107242,1
107267,107244,1
107267,107245,1
107267,107246,1
107267,107247,1
107267,107249,1
107267,107250,1
107267,207267,1
107268,107242,1
107268,107244,1
107268,107245,1
107268,107246,1
107268,107247,1
107268,107249,1
107268,207268,1
107269,107244,1
107269,107245,1
107269,107246,1
107269,107247,1
107269,107249,1
107269,107268,1
107269,207269,1
107270,107241,1
107270,107242,1
107270,107244,1
107270,107245,1
107270,107246,1
107270,107247,1
107270,207270,1
107271,107244,1
107271,107245,1
107271,107246,1
107271,107247,1
107271,107270,1
107271,207271,1
107272,107244,1
107272,107245,1
107272,107246,1
107272,107247,1
107272,107271,1
107272,207272,1
107273,107246,1
107273,107247,1
107273,107271,1
107273,107272,1
107273,207273,1
107274,107247,1
107274,107271,1
107274,107272,1
107274,107273,1
107274,207274,1
107275,107247,1
107275,107271,1
107275,107272,1
107275,107273,1
107275,207275,1
