id1,id2,bound
100738,100737,0.75
100738,200738,0.75
100739,100737,0
100739,100738,0
100739,200739,0
100740,100737,0
100740,100738,0
100740,100739,1
100740,200740,1
100741,100737,0
100741,100738,0
100741,100739,1
100741,100740,1
100741,200741,1
100742,100737,0
100742,100738,0
100742,100739,1
100742,100740,1
100742,100741,1
100742,200742,1
100743,100737,0
100743,100738,0
100743,100739,0
100743,100740,0
100743,100741,0
100743,100742,0
100743,200743,0.05835
100744,100737,0
100744,100738,0
100744,100739,0
100744,100740,0
100744,100741,0
100744,100742,0
100744,100743,0
100744,200744,0
100745,100737,0
100745,100738,0
100745,100739,0
100745,100740,0
100745,100741,0
100745,100742,0
100745,100743,0
100745,100744,1
100745,200745,1
100746,100737,0
100746,100738,0
100746,100739,0
100746,100740,0
100746,100741,0
100746,100742,0
100746,100743,0
100746,100744,1
100746,100745,1
100746,200746,1
100747,100737,0
100747,100738,0
100747,100739,0
100747,100740,0
100747,100741,0
100747,100742,0
100747,100743,0
100747,100744,0.5583
100747,100745,0.5583
100747,100746,0.5583
100747,200747,0.6083000000000001
100748,100737,0
100748,100738,0
100748,100739,0
100748,100740,0
100748,100741,0
100748,100742,0
100748,100743,0
100748,100744,0.1167
100748,100745,0.1167
100748,100746,0.1167
100748,100747,0.5583
100748,200748,0.6083000000000001
100749,100738,0
100749,100739,0
100749,100740,0
100749,100741,0
100749,100742,0
100749,100743,0
100749,100744,0.1167
100749,100745,0.1167
100749,100746,0.1167
100749,100747,0.5583
100749,100748,1
100749,200749,0.98335
100750,100738,0
100750,100739,0
100750,100740,0
100750,100741,0
100750,100742,0
100750,100743,0
100750,100744,0
100750,100745,0
100750,100746,0
100750,100747,0
100750,100748,0
100750,100749,0
100750,200750,0
100751,100739,0
100751,100740,0
100751,100741,0
100751,100742,0
100751,100743,0
100751,100744,0
100751,100745,0
100751,100746,0
100751,100747,0
100751,100748,0
100751,100749,0
100751,100750,1
100751,200751,1
100752,100739,0
100752,100740,0
100752,100741,0
100752,100742,0
100752,100743,0
100752,100744,0
100752,100745,0
100752,100746,0
100752,100747,0
100752,100748,0
100752,100749,0
100752,100750,1
100752,100751,1
100752,200752,1
100753,100739,0
100753,100740,0
100753,100741,0
100753,100742,0
100753,100743,0
100753,100744,0
100753,100745,0
100753,100746,0
100753,100747,0
100753,100748,0
100753,100749,0
100753,100750,1
100753,100751,1
100753,100752,1
100753,200753,1
100754,100742,0
100754,100743,0
100754,100744,0
100754,100745,0
100754,100746,0
100754,100747,0
100754,100748,0
100754,100749,0
100754,100750,1
100754,100751,1
100754,100752,1
100754,100753,1
100754,200754,0.93335
100755,100742,0
100755,100743,0
100755,100744,0
100755,100745,0
100755,100746,0
100755,100747,0
100755,100748,0
100755,100749,0
100755,100750,0.7833
100755,100751,0.7833
100755,100752,0.7833
100755,100753,0.7833
100755,100754,0.7833
100755,200755,0.66665
100756,100743,0
100756,100744,0
100756,100745,0
100756,100746,0
100756,100747,0
100756,100748,0
100756,100749,0
100756,100750,0.7833
100756,100751,0.7833
100756,100752,0.7833
100756,100753,0.7833
100756,100754,0.7833
100756,100755,1
100756,200756,1
100757,100745,0
100757,100746,0
100757,100747,0
100757,100748,0
100757,100749,0
100757,100750,0.7833
100757,100751,0.7833
100757,100752,0.7833
100757,100753,0.7833
100757,100754,0.7833
100757,100755,1
100757,100756,1
100757,200757,1
100758,100747,0
100758,100748,0
100758,100749,0
100758,100750,0.5333
100758,100751,0.5333
100758,100752,0.5333
100758,100753,0.5333
100758,100754,0.5333
100758,100755,0.5833
100758,100756,0.5833
100758,100757,0.5833
100758,200758,0.71665
100759,100748,0
100759,100749,0
100759,100750,0.5333
100759,100751,0.5333
100759,100752,0.5333
100759,100753,0.5333
100759,100754,0.5333
100759,100755,0.5833
100759,100756,0.5833
100759,100757,0.5833
100759,100758,1
100759,200759,0.91665
100760,100748,0
100760,100749,0
100760,100750,0.5333
100760,100751,0.5333
100760,100752,0.5333
100760,100753,0.5333
100760,100754,0.5333
100760,100755,0.5833
100760,100756,0.5833
100760,100757,0.5833
100760,100758,1
100760,100759,1
100760,200760,1
100761,100749,0
100761,100750,0.5333
100761,100751,0.5333
100761,100752,0.5333
100761,100753,0.5333
100761,100754,0.5333
100761,100755,0.5833
100761,100756,0.5833
100761,100757,0.5833
100761,100758,1
100761,100759,1
100761,100760,1
100761,200761,1
100762,100753,0.5333
100762,100754,0.5333
100762,100755,0.5833
100762,100756,0.5833
100762,100757,0.5833
100762,100758,1
100762,100759,1
100762,100760,1
100762,100761,1
100762,200762,1
100763,100755,0.5833
100763,100756,0.5833
100763,100757,0.5833
100763,100758,1
100763,100759,1
100763,100760,1
100763,100761,1
100763,100762,1
100763,200763,1
100764,100757,0.5833
100764,100758,1
100764,100759,1
100764,100760,1
100764,100761,1
100764,100762,1
100764,100763,1
100764,200764,1
100765,100757,0.5833
100765,100758,1
100765,100759,1
100765,100760,1
100765,100761,1
100765,100762,1
100765,100763,1
100765,100764,1
100765,200765,0.95
100766,100757,0.5833
100766,100758,1
100766,100759,1
100766,100760,1
100766,100761,1
100766,100762,1
100766,100763,1
100766,100764,1
100766,100765,1
100766,200766,1
100767,100758,1
100767,100759,1
100767,100760,1
100767,100761,1
100767,100762,1
100767,100763,1
100767,100764,1
100767,100765,1
100767,100766,1
100767,200767,1
100768,100760,1
100768,100761,1
100768,100762,1
100768,100763,1
100768,100764,1
100768,100765,1
100768,100766,1
100768,100767,1
100768,200768,1
100769,100761,1
100769,100762,1
100769,100763,1
100769,100764,1
100769,100765,1
100769,100766,1
100769,100767,1
100769,100768,1
100769,200769,1
100770,100761,1
100770,100762,1
100770,100763,1
100770,100764,1
100770,100765,1
100770,100766,1
100770,100767,1
100770,100768,1
100770,100769,1
100770,200770,1
100771,100762,1
100771,100763,1
100771,100764,1
100771,100765,1
100771,100766,1
100771,100767,1
100771,100768,1
100771,100769,1
100771,100770,1
100771,200771,1
100772,100763,1
100772,100764,1
100772,100765,1
100772,100766,1
100772,100767,1
100772,100768,1
100772,100769,1
100772,100770,1
100772,100771,1
100772,200772,1
100773,100767,0.9167
100773,100768,0.9167
100773,100769,0.9167
100773,100770,0.9167
100773,100771,0.9167
100773,100772,0.9167
100773,200773,0.6167
100774,100767,0.9167
100774,100768,0.9167
100774,100769,0.9167
100774,100770,0.9167
100774,100771,0.9167
100774,100772,0.9167
100774,100773,1
100774,200774,1
100775,100768,0.9167
100775,100769,0.9167
100775,100770,0.9167
100775,100771,0.9167
100775,100772,0.9167
100775,100773,1
100775,100774,1
100775,200775,1
100776,100768,0.9167
100776,100769,0.9167
100776,100770,0.9167
100776,100771,0.9167
100776,100772,0.9167
100776,100773,1
100776,100774,1
100776,100775,1
100776,200776,1
100777,100770,0.9167
100777,100771,0.9167
100777,100772,0.9167
100777,100773,1
100777,100774,1
100777,100775,1
100777,100776,1
100777,200777,1
100778,100771,0.9167
100778,100772,0.9167
100778,100773,1
100778,100774,1
100778,100775,1
