WP4,campaign,temp_beta,pu
3507,1,0.151673455973907,103507
3838,1,0.098461069529618,103838
3839,1,0.104452132260771,103839
3840,1,0.104452132260771,103840
3868,1,0.0887546923522876,103868
3841,1,0.105445070773174,103841
3842,1,0.102986524933987,103842
3843,1,0.106409764067368,103843
3844,1,0.102727106326219,103844
3855,1,0.0843849244518589,103855
3856,1,0.0657860772732522,103856
3857,1,0.0950167763846417,103857
3845,1,0.0703232169298946,103845
3846,1,0.0703232169298946,103846
3854,1,0.0864734157877235,103854
3847,1,0.087330342206702,103847
3853,1,0.124310159134506,103853
3848,1,0.0613540458515529,103848
3849,1,0.0613540458515529,103849
3850,1,0.0613540458515529,103850
3851,1,0.0740223068390164,103851
3852,1,0.0749450928027779,103852
3858,1,0.113344311713027,103858
3865,1,0.0755134213703674,103865
3859,1,0.114857057071827,103859
3860,1,0.110380041534866,103860
3863,1,0.107989361220401,103863
3861,1,0.111606820786365,103861
3862,1,0.111606820786365,103862
3864,1,0.0804027278782969,103864
3866,1,0.110568887592899,103866
3867,1,0.0919061750269354,103867
3880,1,0.0656761928408682,103880
3870,1,0.111147177160939,103870
3871,1,0.111147177160939,103871
3872,1,0.0976674259867416,103872
3878,1,0.10154828119167,103878
3873,1,0.0980517210500111,103873
3874,1,0.0924223607721491,103874
3875,1,0.0924223607721491,103875
3876,1,0.0846905891532481,103876
3877,1,0.0846905891532481,103877
3879,1,0.102317576176844,103879
3508,1,0.135729599924623,103508
3509,1,0.135729599924623,103509
3836,1,0.0764877071814715,103836
3837,1,0.0764877071814715,103837
3510,1,0.136077675890585,103510
3835,1,0.0795808129494071,103835
3511,1,0.133070751122442,103511
3512,1,0.133070751122442,103512
3513,1,0.120789890580532,103513
3822,1,0.0652665180002956,103822
3514,1,0.134688847008974,103514
3515,1,0.135528027009094,103515
3819,1,0.0698074736233595,103819
3820,1,0.0698074736233595,103820
3516,1,0.125523787418513,103516
3818,1,0.0638674050546641,103818
3517,1,0.113134146846215,103517
3518,1,0.124445201822369,103518
3519,1,0.123814409265967,103519
3521,1,0.105923804074512,103521
3805,1,0.0796469372079375,103805
3522,1,0.112745555212079,103522
3523,1,0.0936352646793997,103523
3524,1,0.0936352646793997,103524
3771,1,0.0682975603806607,103771
3772,1,0.0682975603806607,103772
3773,1,0.0682975603806607,103773
3525,1,0.0932201759927011,103525
3763,1,0.0798865134793563,103763
3770,1,0.071763736020269,103770
3764,1,0.0722383665829128,103764
3767,1,0.0736002242661232,103767
3769,1,0.08547835134982,103769
3768,1,0.0767683475324442,103768
3765,1,0.171856218033496,103765
3766,1,0.102540643862697,103766
3526,1,0.0968913928027435,103526
3527,1,0.0976547258073062,103527
3737,1,0.0774144058170158,103737
3738,1,0.068597031058641,103738
3739,1,0.0676086700479832,103739
3751,1,0.0812594313123151,103751
3740,1,0.0689724718966412,103740
3749,1,0.0683185310883742,103749
3750,1,0.0682522802148609,103750
3741,1,0.0799436882906141,103741
3742,1,0.0899764080621689,103742
3743,1,0.0836506808195931,103743
3744,1,0.0999151790086033,103744
3745,1,0.0999151790086033,103745
3746,1,0.0701125172478324,103746
3747,1,0.0654504072357759,103747
3748,1,0.114117935941905,103748
3752,1,0.0648690108493026,103752
3761,1,0.0856369044591439,103761
3753,1,0.0647292867878234,103753
3754,1,0.0647292867878234,103754
3760,1,0.0764448142384597,103760
3755,1,0.0534720856806387,103755
3756,1,0.0573215183846216,103756
3757,1,0.0692466467013042,103757
3758,1,0.0601304980864107,103758
3759,1,0.0723843347177084,103759
3528,1,0.0923728562890109,103528
3736,1,0.0674452734381932,103736
3529,1,0.0941414429303401,103529
3530,1,0.0887178648634966,103530
3531,1,0.0903815248777961,103531
3733,1,0.0652612949238889,103733
3532,1,0.0853773907058895,103532
3730,1,0.0650142542770095,103730
3731,1,0.0650142542770095,103731
3533,1,0.0762952724827117,103533
3727,1,0.0690212229391363,103727
3729,1,0.0821441322076111,103729
3728,1,0.07986192244285,103728
3534,1,0.0762952724827117,103534
3535,1,0.0703780520294568,103535
3536,1,0.074593163248263,103536
3537,1,0.0696855344144408,103537
3708,1,0.0829017318497874,103708
3538,1,0.0690689426063836,103538
3539,1,0.0690689426063836,103539
3704,1,0.0965111937416949,103704
3707,1,0.0849873715796116,103707
3705,1,0.0825944892899947,103705
3706,1,0.0825944892899947,103706
3540,1,0.0648148758956948,103540
3541,1,0.0777671467601662,103541
3697,1,0.0695110776990429,103697
3698,1,0.0768686842635062,103698
3700,1,0.0696671572294812,103700
3699,1,0.0639988256796826,103699
3701,1,0.0728176426261824,103701
3542,1,0.0850768922443253,103542
3543,1,0.121376235089876,103543
3658,1,0.0976996285852263,103658
3662,1,0.0976996285852263,103662
3659,1,0.0905411880859608,103659
3660,1,0.0851020141447813,103660
3661,1,0.0651595574237084,103661
3544,1,0.111173445617167,103544
3545,1,0.12928277653356,103545
3546,1,0.0679125092073579,103546
3547,1,0.0943718226429897,103547
3548,1,0.107660014879014,103548
3549,1,0.105541789375576,103549
3550,1,0.132744019669267,103550
3551,1,0.0954241887622963,103551
3622,1,0.123483923330621,103622
3552,1,0.091442422796871,103552
3553,1,0.108058290422465,103553
3612,1,0.0681233472312443,103612
3616,1,0.0769441917107221,103616
3613,1,0.0789332291038508,103613
3615,1,0.0838131978954302,103615
3614,1,0.0643718324889377,103614
3554,1,0.102165600808527,103554
3555,1,0.112137741710868,103555
3602,1,0.0790799964922978,103602
3610,1,0.0799932098766979,103610
3603,1,0.139374235878917,103603
3609,1,0.0967192668318833,103609
3604,1,0.0983822512301613,103604
3608,1,0.0869682260758921,103608
3605,1,0.0821686881690671,103605
3607,1,0.0675499740718319,103607
3606,1,0.0843233581677544,103606
3556,1,0.06477095250245,103556
3557,1,0.136034259981848,103557
3558,1,0.109384599826239,103558
3559,1,0.0788295866128317,103559
3560,1,0.0768242014489041,103560
3561,1,0.0717878606537954,103561
3586,1,0.113415414214641,103586
3594,1,0.071766123894432,103594
3587,1,0.114247049102867,103587
3588,1,0.0709665872062433,103588
3592,1,0.0935315073052483,103592
3589,1,0.0696227356682392,103589
3590,1,0.0696227356682392,103590
3593,1,0.0666482632853957,103593
3562,1,0.044345123216091,103562
3583,1,0.0691363919739462,103583
3584,1,0.0683900715736417,103584
3585,1,0.0587888296611844,103585
3563,1,0.0466621232224879,103563
3564,1,0.0526297884131978,103564
3565,1,0.0458750706047557,103565
3566,1,0.0560342281933411,103566
3567,1,0.0444436774939734,103567
3568,1,0.0384255020000166,103568
3569,1,0.060597942516021,103569
3570,1,0.0848721087412317,103570
3571,1,0.0755570840258913,103571
3572,1,0.0550744429554048,103572
3573,1,0.0882102400936093,103573
3574,1,0.0795569625859075,103574
3580,1,0.0856180302088408,103580
3575,1,0.0458051769111564,103575
3579,1,0.0863601679436828,103579
3576,1,0.0759432528565312,103576
3578,1,0.0610621056013361,103578
3577,1,0.0813533379733582,103577
3581,1,0.0627734998878018,103581
3582,1,0.0796495467153536,103582
3595,1,0.068016381114788,103595
3596,1,0.0830639160104276,103596
3597,1,0.0621454339602981,103597
3598,1,0.0737221924269679,103598
3599,1,0.0952293814043933,103599
3600,1,0.06353391064944,103600
3601,1,0.0747480717687734,103601
3611,1,0.0601304980864107,103611
3617,1,0.10234593975487,103617
3621,1,0.0650901992378017,103621
3618,1,0.0806180200609843,103618
3620,1,0.0571849358348713,103620
3619,1,0.0874743727536848,103619
3623,1,0.0952948787956768,103623
3624,1,0.0970450139189596,103624
3625,1,0.0757403797364833,103625
3626,1,0.0912124760427605,103626
3627,1,0.0912124760427605,103627
3628,1,0.0904728402793141,103628
3629,1,0.0619953267153376,103629
3630,1,0.0946338029426158,103630
3631,1,0.0498865813246432,103631
3632,1,0.0601304980864107,103632
3633,1,0.087757313574918,103633
3634,1,0.087757313574918,103634
3638,1,0.0847670326652649,103638
3635,1,0.0924047124532457,103635
3636,1,0.0924047124532457,103636
3637,1,0.0713344190359445,103637
3639,1,0.0607363789040209,103639
3640,1,0.0668154670021394,103640
3652,1,0.087149646308057993,103652
3641,1,0.111936331665994,103641
3642,1,0.0580613863978269,103642
3650,1,0.0949096870804746,103650
3643,1,0.065027124904574,103643
3649,1,0.0895123694257445,103649
3644,1,0.0531785955977155,103644
3648,1,0.0601760328209593,103648
3645,1,0.064348002934439,103645
3647,1,0.0555040798985374,103647
3646,1,0.101797091149186,103646
3651,1,0.0600571535321029,103651
3653,1,0.0542000720100362,103653
3654,1,0.0558683330982061,103654
3655,1,0.0421977117056146,103655
3656,1,0.0946309000009408,103656
3657,1,0.0780294962569218,103657
3663,1,0.0615807158804951,103663
3664,1,0.0416786764699245,103664
3665,1,0.0439813944827619,103665
3693,1,0.0505892572034927,103693
3694,1,0.0695524817792044,103694
3695,1,0.0743749279637053,103695
3666,1,0.0468565263839027,103666
3667,1,0.0877400380220628,103667
3691,1,0.0611084709752619,103691
3668,1,0.102583291221668,103668
3690,1,0.0615213251052048,103690
3669,1,0.106010698414442,103669
3689,1,0.062951368613975,103689
3670,1,0.127816638680583,103670
3671,1,0.118057390883955,103671
3672,1,0.109352341303945,103672
3673,1,0.110975376216973,103673
3674,1,0.0785046415749004,103674
3675,1,0.0556851299968323,103675
3679,1,0.0658835924624571,103679
3676,1,0.120611252182415,103676
3677,1,0.0558206260913343,103677
3678,1,0.0582977092375038,103678
3680,1,0.0924065728215709,103680
3681,1,0.0596994458410282,103681
3682,1,0.0786304923111032,103682
3683,1,0.0930798684996219,103683
3687,1,0.0891471336448652,103687
3684,1,0.0837170639728,103684
3686,1,0.0977570220375744,103686
3685,1,0.110913152227261,103685
3688,1,0.0611084709752619,103688
3692,1,0.062951368613975,103692
3696,1,0.0653896696011056,103696
3702,1,0.0851544983336143,103702
3703,1,0.0851544983336143,103703
3947,1,0.0768721584110706,103947
3709,1,0.0858428573706688,103709
3710,1,0.0827175015851245,103710
3724,1,0.0740874941889722,103724
3725,1,0.0740874941889722,103725
3711,1,0.0757363745163026,103711
3712,1,0.0758655050631488,103712
3713,1,0.0729548979582261,103713
3718,1,0.0729548979582261,103718
3717,1,0.0645828953143341,103717
3714,1,0.0819996504789126,103714
3716,1,0.0774466205320593,103716
3715,1,0.100772211757546,103715
3719,1,0.0742881036326357,103719
3720,1,0.0708958260775966,103720
3721,1,0.0542825189149509,103721
3722,1,0.0630316924560521,103722
3723,1,0.0705415488342586,103723
3734,1,0.0592163145112399,103734
3735,1,0.0784449187668159,103735
3762,1,0.0709592566406346,103762
3775,1,0.0622638838469487,103775
3776,1,0.076033679514119,103776
3804,1,0.0583696998591491,103804
3777,1,0.0668764777799792,103777
3796,1,0.0756414545990155,103796
3803,1,0.0751659094227879,103803
3797,1,0.088777306921783,103797
3800,1,0.0903790986046538,103800
3801,1,0.0876025226348775,103801
3802,1,0.084484426496391,103802
3798,1,0.088126935240635,103798
3799,1,0.0774457323748342,103799
3778,1,0.0624642833188456,103778
3779,1,0.0624642833188456,103779
3795,1,0.0720161922807523,103795
3780,1,0.0627681660080625,103780
3794,1,0.0765942619066617,103794
3781,1,0.0607965476074403,103781
3792,1,0.075236847087473,103792
3793,1,0.075236847087473,103793
3782,1,0.0606528065893672,103782
3791,1,0.0851765432170579,103791
3783,1,0.0648646044657594,103783
3784,1,0.0727286798546989,103784
3785,1,0.0779412168380444,103785
