WP4,campaign,value,value_sd,pu
1811,2,2094.02632719426,195.08204117582287,201811
1812,2,4049.3718728099648,489.68959842345555,201812
1813,2,229.67384332509195,27.449335643836672,201813
1814,2,738.1715258861298,54.060729770381954,201814
1815,2,528.937390587369,35.9986801168237,201815
1816,2,138.6537242614546,8.300699332715038,201816
1817,2,1607.6922526828764,132.96146640644412,201817
1818,2,63.25548918648399,3.7302783262274106,201818
1819,2,397.3795459895218,23.085052203407006,201819
1820,2,1032.798066888558,103.602960760617,201820
1821,2,755.531558419888,47.94626157489983,201821
1822,2,147.28002887149117,7.737680350317326,201822
1823,2,251.55845054418091,14.876454120009424,201823
1824,2,315.3981812910062,21.335813743094917,201824
1825,2,444.49117056279204,33.463194816301495,201825
1826,2,38.84637322868075,2.0384164160680904,201826
1827,2,1384.7070026732592,128.3083798507578,201827
1828,2,2005.0776160161997,221.9291049619958,201828
1829,2,4180.389265582752,375.6014972322219,201829
1830,2,552.6654339144699,35.41255368120659,201830
1831,2,18290.31994412831,2112.5054099031495,201831
1832,2,1442.774170696154,155.20939678373605,201832
1833,2,3411.6034445452947,343.9954015038072,201833
1834,2,3812.8606977588925,414.86839586550116,201834
1835,2,218.54980731149897,19.62318829271653,201835
1836,2,691.2407449772294,56.71916784677256,201836
1837,2,406.20565499386873,23.997729402920303,201837
1838,2,2683.978481766334,324.5526496641356,201838
1839,2,6392.235495031691,723.8715963173081,201839
1840,2,3237.813745100678,339.29531814681053,201840
1841,2,509.04183525004714,41.41731839717122,201841
1842,2,6257.902053606186,535.4327707317817,201842
1843,2,903.7444089498122,60.699541554958635,201843
1844,2,899.5459652395207,109.56709996696813,201844
1845,2,103.95326326055581,12.248469307625513,201845
1846,2,1483.5427634934424,168.01226842842624,201846
1847,2,459.9074356562036,47.40484072368589,201847
1848,2,3403.607269241699,270.51956437581816,201848
1849,2,1101.9417691715926,113.72182902751163,201849
1850,2,172.66961997623963,14.690317525432231,201850
1851,2,312.086580279547,14.903960509639749,201851
1852,2,439.13665698887155,33.22550087922257,201852
1853,2,4868.201884354606,710.8552421324172,201853
1854,2,544.480090718972,57.475797786755734,201854
1855,2,289.21822562787895,21.674981916845258,201855
1856,2,23376.99241806236,2803.640220688519,201856
1857,2,26672.714459051793,2171.8788695610124,201857
1858,2,2097.0071857664007,248.90627502086775,201858
1859,2,60178.83335380918,5622.293679818085,201859
1860,2,32881.24495535616,2722.7637161573034,201860
1861,2,40303.39992188596,3641.471371090782,201861
1862,2,35372.326717801945,3200.5697861307303,201862
1863,2,12611.51534020091,1169.0678259780648,201863
1864,2,57886.7962492919,5363.168709349862,201864
1865,2,41892.82966218056,4277.250792330963,201865
1866,2,6214.457874004023,863.535814050922,201866
1867,2,39545.352744548836,3869.731901000282,201867
1868,2,16861.258468468357,1760.0124631943042,201868
1869,2,19824.798532970413,2059.3500611036466,201869
1870,2,18922.264721739397,2146.940358247894,201870
1871,2,2484.073929948687,270.8329160908536,201871
1872,2,5193.714307224857,563.1809925332636,201872
1873,2,24530.754504938785,3040.5690871865304,201873
1874,2,12460.182777988579,1474.0655773003998,201874
1875,2,1076.4088836762926,117.36003794398526,201875
1876,2,1020.3853539331277,113.11706405137494,201876
1877,2,1013.4261081018915,111.49934947593113,201877
1878,2,1531.4647860949553,262.2164085218531,201878
1879,2,10054.192256826056,1302.2810136139778,201879
1880,2,3671.380699767444,443.09496601027155,201880
1881,2,830.220071092793,97.95845590606066,201881
1882,2,1896.5034366491157,410.8543095984508,201882
1883,2,5297.600712758256,1140.6958023204766,201883
1884,2,6338.937602593639,1454.2496692712182,201884
1885,2,9354.25469077509,1505.1423110945773,201885
1886,2,4404.413005445367,599.0423390779464,201886
1887,2,4425.076987359567,738.7807580132416,201887
1894,2,1014.872105665969,133.45482803889163,201894
1895,2,117.83352212824472,8.797205912646518,201895
1896,2,140.6328163485977,10.843722916390242,201896
1897,2,309.8161381015813,21.34460803801875,201897
1898,2,57.75498638047287,3.8539022831364007,201898
1899,2,493.8160859896272,27.742671223501038,201899
1903,2,105.11229666081258,12.038603463239358,201903
1904,2,1651.644797172187,164.16410860256008,201904
1905,2,393.0119984861285,26.214525447680455,201905
1906,2,607.7678367359613,44.128853314662095,201906
1907,2,1919.2886314353027,315.13312045634353,201907
1908,2,218.6836336520516,33.398448037128425,201908
1909,2,2276.3354922297713,280.02800720083604,201909
1910,2,132.62055707855748,16.14194688754337,201910
1911,2,578.574622410906,54.2694772503085,201911
1912,2,157.50128115167263,16.810693561444914,201912
1913,2,423.67549540977245,44.798722986190555,201913
1914,2,515.3454612066159,64.07511522963648,201914
1915,2,121.2004600359848,13.392921237959875,201915
1916,2,496.87084191988885,57.761496810878526,201916
1918,2,553.6436308525994,66.97296314322728,201918
1919,2,424.87005464505205,51.55061565393655,201919
1920,2,691.2566444113666,84.81196800743585,201920
1921,2,409.2599892438052,50.612850842568356,201921
1922,2,2279.3471214196543,277.6090641589989,201922
1923,2,2304.0779710377356,277.6995629936097,201923
1924,2,469.66984385503815,47.173933281039645,201924
1925,2,571.057681051731,68.60861424813938,201925
1931,2,58.78357672323241,5.580671000036567,201931
1932,2,228.89578751638783,17.654267975745825,201932
1934,2,592.563716815818,45.44721891441741,201934
1935,2,2112.260408269668,324.0507099352753,201935
1936,2,5892.975393147988,629.8156113922511,201936
1937,2,1902.8868873901006,138.45629047686938,201937
1938,2,1713.0071314750076,150.27408007295426,201938
1939,2,227.81126229736444,18.23152702207967,201939
1940,2,362.01726102123183,29.15613445892713,201940
1945,2,1533.9883732043993,119.92239350313639,201945
1946,2,168.372833247791,10.776029883035578,201946
1947,2,156.86007971704825,11.102582962162643,201947
1948,2,5402.856946014169,901.2475027917147,201948
1949,2,4671.298493811761,438.20468215255534,201949
1950,2,1570.488934852922,191.11933925133656,201950
1951,2,230.49980298228783,17.438205641812246,201951
1952,2,385.00664721806294,14.836695374334903,201952
1953,2,1810.1366182371787,293.69895260034275,201953
1954,2,81.69970583811211,12.569365053750959,201954
1955,2,3108.827755156499,269.79025519029994,201955
1956,2,1552.2796741623868,165.87809166950683,201956
1957,2,5549.77704788132,815.4180163865661,201957
1958,2,12261.46117834336,1576.3607935370949,201958
1959,2,793.2847917126185,79.73833605624704,201959
1960,2,167.17650732972197,16.406571911177135,201960
1961,2,949.708964749396,89.05111043094492,201961
