id1,id2,bound
100634,100633,1
100634,200634,1
100635,100633,1
100635,100634,1
100635,200635,1
100636,100633,1
100636,100634,1
100636,100635,1
100636,200636,1
100637,100633,1
100637,100634,1
100637,100635,1
100637,100636,1
100637,200637,1
100638,100633,1
100638,100634,1
100638,100635,1
100638,100636,1
100638,100637,1
100638,200638,1
100639,100633,1
100639,100634,1
100639,100635,1
100639,100636,1
100639,100637,1
100639,100638,1
100639,200639,1
100640,100633,1
100640,100634,1
100640,100635,1
100640,100636,1
100640,100637,1
100640,100638,1
100640,100639,1
100640,200640,1
100641,100633,1
100641,100634,1
100641,100635,1
100641,100636,1
100641,100637,1
100641,100638,1
100641,100639,1
100641,100640,1
100641,200641,1
100642,100633,1
100642,100634,1
100642,100635,1
100642,100636,1
100642,100637,1
100642,100638,1
100642,100639,1
100642,100640,1
100642,100641,1
100642,200642,1
100643,100635,1
100643,100636,1
100643,100637,1
100643,100638,1
100643,100639,1
100643,100640,1
100643,100641,1
100643,100642,1
100643,200643,1
100644,100635,1
100644,100636,1
100644,100637,1
100644,100638,1
100644,100639,1
100644,100640,1
100644,100641,1
100644,100642,1
100644,100643,1
100644,200644,1
100645,100635,1
100645,100636,1
100645,100637,1
100645,100638,1
100645,100639,1
100645,100640,1
100645,100641,1
100645,100642,1
100645,100643,1
100645,100644,1
100645,200645,1
100646,100636,1
100646,100637,1
100646,100638,1
100646,100639,1
100646,100640,1
100646,100641,1
100646,100642,1
100646,100643,1
100646,100644,1
100646,100645,1
100646,200646,1
100647,100636,1
100647,100637,1
100647,100638,1
100647,100639,1
100647,100640,1
100647,100641,1
100647,100642,1
100647,100643,1
100647,100644,1
100647,100645,1
100647,100646,1
100647,200647,1
100648,100637,1
100648,100638,1
100648,100639,1
100648,100640,1
100648,100641,1
100648,100642,1
100648,100643,1
100648,100644,1
100648,100645,1
100648,100646,1
100648,100647,1
100648,200648,1
100649,100637,1
100649,100638,1
100649,100639,1
100649,100640,1
100649,100641,1
100649,100642,1
100649,100643,1
100649,100644,1
100649,100645,1
100649,100646,1
100649,100647,1
100649,100648,1
100649,200649,1
100650,100637,1
100650,100638,1
100650,100639,1
100650,100640,1
100650,100641,1
100650,100642,1
100650,100643,1
100650,100644,1
100650,100645,1
100650,100646,1
100650,100647,1
100650,100648,1
100650,100649,1
100650,200650,1
100651,100637,1
100651,100638,1
100651,100639,1
100651,100640,1
100651,100641,1
100651,100642,1
100651,100643,1
100651,100644,1
100651,100645,1
100651,100646,1
100651,100647,1
100651,100648,1
100651,100649,1
100651,100650,1
100651,200651,1
100652,100638,1
100652,100639,1
100652,100640,1
100652,100641,1
100652,100642,1
100652,100643,1
100652,100644,1
100652,100645,1
100652,100646,1
100652,100647,1
100652,100648,1
100652,100649,1
100652,100650,1
100652,100651,1
100652,200652,1
100653,100639,1
100653,100640,1
100653,100641,1
100653,100642,1
100653,100643,1
100653,100644,1
100653,100645,1
100653,100646,1
100653,100647,1
100653,100648,1
100653,100649,1
100653,100650,1
100653,100651,1
100653,100652,1
100653,200653,1
100654,100639,1
100654,100640,1
100654,100641,1
100654,100642,1
100654,100643,1
100654,100644,1
100654,100645,1
100654,100646,1
100654,100647,1
100654,100648,1
100654,100649,1
100654,100650,1
100654,100651,1
100654,100652,1
100654,100653,1
100654,200654,1
100655,100640,1
100655,100641,1
100655,100642,1
100655,100643,1
100655,100644,1
100655,100645,1
100655,100646,1
100655,100647,1
100655,100648,1
100655,100649,1
100655,100650,1
100655,100651,1
100655,100652,1
100655,100653,1
100655,100654,1
100655,200655,1
100656,100640,1
100656,100641,1
100656,100642,1
100656,100643,1
100656,100644,1
100656,100645,1
100656,100646,1
100656,100647,1
100656,100648,1
100656,100649,1
100656,100650,1
100656,100651,1
100656,100652,1
100656,100653,1
100656,100654,1
100656,100655,1
100656,200656,1
100657,100640,1
100657,100641,1
100657,100642,1
100657,100643,1
100657,100644,1
100657,100645,1
100657,100646,1
100657,100647,1
100657,100648,1
100657,100649,1
100657,100650,1
100657,100651,1
100657,100652,1
100657,100653,1
100657,100654,1
100657,100655,1
100657,100656,1
100657,200657,1
100658,100640,1
100658,100641,1
100658,100642,1
100658,100643,1
100658,100644,1
100658,100645,1
100658,100646,1
100658,100647,1
100658,100648,1
100658,100649,1
100658,100650,1
100658,100651,1
100658,100652,1
100658,100653,1
100658,100654,1
100658,100655,1
100658,100656,1
100658,100657,1
100658,200658,1
100659,100640,1
100659,100641,1
100659,100642,1
100659,100643,1
100659,100644,1
100659,100645,1
100659,100646,1
100659,100647,1
100659,100648,1
100659,100649,1
100659,100650,1
100659,100651,1
100659,100652,1
100659,100653,1
100659,100654,1
100659,100655,1
100659,100656,1
100659,100657,1
100659,100658,1
100659,200659,1
100660,100642,1
100660,100643,1
100660,100644,1
100660,100645,1
100660,100646,1
100660,100647,1
100660,100648,1
100660,100649,1
100660,100650,1
100660,100651,1
100660,100652,1
100660,100653,1
100660,100654,1
100660,100655,1
100660,100656,1
100660,100657,1
100660,100658,1
100660,100659,1
100660,200660,1
100661,100643,1
100661,100644,1
100661,100645,1
100661,100646,1
100661,100647,1
100661,100648,1
