id1,id2,bound
103508,103507,1
103508,203508,1
103509,103507,1
103509,103508,1
103509,203509,1
103510,103507,0.9833
103510,103508,0.9833
103510,103509,0.9833
103510,203510,0.96875
103511,103507,1
103511,103508,1
103511,103509,1
103511,103510,1
103511,203511,1
103512,103507,1
103512,103508,1
103512,103509,1
103512,103510,1
103512,103511,1
103512,203512,1
103513,103508,0.9833
103513,103509,0.9833
103513,103510,0.9833
103513,103511,0.9833
103513,103512,0.9833
103513,203513,0.8999999999999999
103514,103509,1
103514,103510,1
103514,103511,1
103514,103512,1
103514,203514,1
103515,103509,1
103515,103510,1
103515,103511,1
103515,103512,1
103515,103514,1
103515,203515,1
103516,103510,1
103516,103511,1
103516,103512,1
103516,103514,1
103516,203516,1
103517,103511,1
103517,103512,1
103517,103514,1
103517,103516,1
103517,203517,1
103518,103512,0.9944
103518,103513,1
103518,103514,0.9944
103518,103516,0.9944
103518,103517,0.9944
103518,203518,0.96665
103519,103512,1
103519,103514,1
103519,103516,1
103519,103517,1
103519,203519,1
103520,103512,1
103520,103514,1
103520,103516,1
103520,103517,1
103520,103519,1
103520,203520,1
103521,103514,1
103521,103516,1
103521,103517,1
103521,203521,1
103522,103514,0.9967
103522,103516,0.9967
103522,103517,0.9958
103522,103519,0.9958
103522,103520,0.9958
103522,203522,0.98
103523,103514,1
103523,103516,1
103523,103517,1
103523,103519,1
103523,103520,1
103523,103522,1
103523,203523,1
103524,103516,1
103524,103517,1
103524,103519,1
103524,103520,1
103524,103522,1
103524,103523,1
103524,203524,1
103525,103516,0.9958
103525,103517,0.9958
103525,103519,0.9958
103525,103520,0.9958
103525,103522,0.9958
103525,103523,0.9958
103525,103524,0.9958
103525,203525,0.9750000000000001
103526,103516,1
103526,103517,1
103526,103519,1
103526,103520,1
103526,103522,1
103526,103523,1
103526,103524,1
103526,103525,1
103526,203526,1
103527,103519,0.9917
103527,103520,0.9917
103527,103522,0.9917
103527,103523,0.9917
103527,103524,0.9917
103527,103525,0.9917
103527,103526,0.9917
103527,203527,0.95
103528,103519,1
103528,103520,1
103528,103522,1
103528,103523,1
103528,103524,1
103528,103525,1
103528,103526,1
103528,203528,1
103529,103519,0.9944
103529,103520,0.9944
103529,103522,0.9944
103529,103523,0.9944
103529,103524,0.9944
103529,103525,0.9944
103529,103526,0.9917
103529,103528,0.9833
103529,203529,0.8999999999999999
103530,103519,0.9833
103530,103520,0.9833
103530,103522,0.9833
103530,103523,0.9833
103530,103524,0.9833
103530,103525,0.9833
103530,103526,0.9833
103530,103528,0.9833
103530,203530,0.8999999999999999
103531,103519,1
103531,103520,1
103531,103522,1
103531,103523,1
103531,103524,1
103531,103525,1
103531,103526,1
103531,103528,1
103531,203531,1
103532,103522,0.9833
103532,103523,0.9833
103532,103524,0.9833
103532,103525,0.9833
103532,103526,0.9833
103532,103528,0.9833
103532,103529,1
103532,103531,0.9833
103532,203532,0.8999999999999999
103533,103522,1
103533,103523,1
103533,103524,1
103533,103525,1
103533,103526,1
103533,103528,1
103533,103531,1
103533,203533,1
103535,103525,1
103535,103526,1
103535,103528,1
103535,103531,1
103535,103533,1
103535,203535,1
103536,103525,1
103536,103526,1
103536,103528,1
103536,103531,1
103536,103533,1
103536,103535,1
103536,203536,1
103537,103528,1
103537,103531,1
103537,103533,1
103537,203537,1
103538,103528,1
103538,103531,1
103538,103533,1
103538,103535,1
103538,103536,1
103538,103537,1
103538,203538,1
103539,103531,1
103539,103533,1
103539,103535,1
103539,103536,1
103539,103537,1
103539,103538,1
103539,203539,1
103540,103531,1
103540,103533,1
103540,103535,1
103540,103536,1
103540,103537,1
103540,103538,1
103540,103539,1
103540,203540,1
103541,103533,1
103541,203541,1
103542,103533,1
103542,103535,1
103542,103536,1
103542,103537,1
103542,103538,1
103542,103539,1
103542,103540,1
103542,203542,1
103543,103535,1
103543,103536,1
103543,103537,1
103543,103538,1
103543,103539,1
103543,103540,1
103543,103542,1
103543,203543,1
103544,103535,0.9833
103544,103536,0.9833
103544,103537,0.9833
103544,103538,0.9833
103544,103539,0.9833
103544,103540,0.9833
103544,103542,0.9833
103544,103543,0.9833
103544,203544,0.8999999999999999
103545,103536,0.85
103545,103537,0.85
103545,103538,0.85
103545,103539,0.85
103545,103540,0.85
103545,103541,1
103545,103542,0.85
103545,103543,0.85
103545,103544,0.85
103545,203545,0.83335
103546,103537,0.925
103546,103538,0.925
103546,103539,0.925
103546,103540,0.925
103546,103542,0.85
103546,103543,0.85
103546,103544,0.85
103546,203546,0.85835
103547,103537,0
103547,103538,0
103547,103539,0
103547,103540,0
103547,103542,0
103547,103543,0
103547,103544,0
103547,103546,0
103547,203547,0
103548,103538,0
103548,103539,0
103548,103540,0
103548,103542,0
103548,103543,0
103548,103544,0
103548,103546,0
103548,103547,0.9833
103548,203548,0.8625
103549,103538,0
103549,103539,0
103549,103540,0
103549,103542,0
103549,103543,0
103549,103544,0
103549,103546,0
103549,103547,0.9667
103549,103548,0.9667
103549,203549,0.83335
103550,103538,0
103550,103539,0
103550,103540,0
103550,103542,0
103550,103543,0
103550,103544,0
103550,103546,0
103550,103547,0.9667
103550,103548,0.9667
103550,103549,1
103550,203550,0.975
103551,103539,0
103551,103540,0
103551,103542,0
103551,103543,0
103551,103544,0
103551,103546,0
