FID;ID;AREA_SQKM;MNANPRC_M;MEANANNCMS;WIDTH_M;DEPTH_M;BFD0;BFD0_up;BFD0_down;BFD0_local;BFD1;BFD1_up;BFD1_down;BFD1_local;BFD2;BFD2_up;BFD2_down;BFD2_local;BFD3;BFD3_up;BFD3_down;BFD3_local;BFD4;BFD4_up;BFD4_down;BFD4_local;BFD5;BFD5_up;BFD5_down;BFD5_local
10;11,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;11107,535159999999451;32815314,000000000000000;930671,687500000000000;7,335020000000000;618295,562500000000000;143917888,000000000000000;10493809,000000000000000;408,300290000000018;1443328,125000000000000;278407744,000000000000000;25832320,000000000000000;953,122250000000008;2983693,250000000000000;442003424,000000000000000;49906872,000000000000000;1970,324339999999893;5943885,000000000000000;637596864,000000000000000;86321432,000000000000000;3925,129150000000209;10266541,000000000000000;865133952,000000000000000;132079128,000000000000000;6779,656740000000354
11;12,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;23189,828119999998307;32804204,000000000000000;942184,937500000000000;15,259530000000000;466499,093750000000000;143299552,000000000000000;11113658,000000000000000;306,969020000000000;1062845,250000000000000;276964320,000000000000000;27280146,000000000000000;699,380919999999946;2027887,625000000000000;439019744,000000000000000;52898532,000000000000000;1334,404909999999973;3944515,750000000000000;631653184,000000000000000;92276656,000000000000000;2595,598140000000058;7399462,500000000000000;854867520,000000000000000;142361024,000000000000000;4869,046390000000429
12;13,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;9048,747069999999439;32781016,000000000000000;964969,250000000000000;5,933830000000000;458593,468750000000000;142833136,000000000000000;11572859,000000000000000;300,728240000000028;1113867,000000000000000;275901344,000000000000000;28327090,000000000000000;730,431820000000016;2265125,000000000000000;436991744,000000000000000;54903016,000000000000000;1485,383299999999963;4269540,000000000000000;627708864,000000000000000;96191976,000000000000000;2799,802729999999883;7210176,000000000000000;847468224,000000000000000;149823664,000000000000000;4728,160640000000058
13;14,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;17149,943360000001121;32771968,000000000000000;974017,500000000000000;11,267820000000000;492701,625000000000000;142374544,000000000000000;12027715,000000000000000;323,713900000000024;1220059,500000000000000;274787488,000000000000000;29434150,000000000000000;801,601199999999949;3583285,250000000000000;434726560,000000000000000;57155400,000000000000000;2354,283199999999852;7790448,500000000000000;623439104,000000000000000;100444640,000000000000000;5118,465820000000349;13018774,000000000000000;840258240,000000000000000;156939024,000000000000000;8553,570309999999154
14;15,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;25018,687500000000000;32754820,000000000000000;993112,000000000000000;16,634029999999999;441582,781250000000000;141881856,000000000000000;12533186,000000000000000;293,592620000000011;975761,437500000000000;273567456,000000000000000;30680246,000000000000000;648,748960000000011;2022734,500000000000000;431143328,000000000000000;60779632,000000000000000;1344,843990000000076;4261797,500000000000000;615648960,000000000000000;108289472,000000000000000;2833,517089999999826;7652757,000000000000000;827239424,000000000000000;170004928,000000000000000;5088,044920000000275
15;16,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;16070,052729999999428;32729798,000000000000000;1016455,437500000000000;10,632700000000000;523446,125000000000000;141440304,000000000000000;12965709,000000000000000;346,336430000000007;1124622,250000000000000;272591712,000000000000000;31636586,000000000000000;744,102660000000014;1945714,500000000000000;429120640,000000000000000;62774768,000000000000000;1287,375729999999976;3584437,750000000000000;611387264,000000000000000;112513440,000000000000000;2371,631589999999960;6753124,000000000000000;819586560,000000000000000;177605248,000000000000000;4468,182619999999588
16;17,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;34424,843750000000000;32713726,000000000000000;1032257,562500000000000;22,852190000000000;556383,875000000000000;140916832,000000000000000;13497200,000000000000000;369,343439999999987;1152395,625000000000000;271467104,000000000000000;32777602,000000000000000;764,992979999999989;2001248,625000000000000;427175008,000000000000000;64742032,000000000000000;1328,485719999999901;3639072,750000000000000;607802880,000000000000000;116126656,000000000000000;2415,719970000000103;6045235,500000000000000;812833536,000000000000000;184399360,000000000000000;4012,999269999999797
17;18,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;15481,835940000000846;32679298,000000000000000;1066751,000000000000000;10,281210000000000;617148,500000000000000;140360464,000000000000000;14052809,000000000000000;409,837190000000021;1416759,125000000000000;270314656,000000000000000;33928360,000000000000000;940,844180000000051;2939593,000000000000000;425173728,000000000000000;66742800,000000000000000;1952,130619999999908;5719566,000000000000000;604163968,000000000000000;119764840,000000000000000;3798,260499999999865;9181717,000000000000000;806788352,000000000000000;190439824,000000000000000;6097,412599999999657
18;19,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;10304,373050000000148;32663812,000000000000000;1082163,375000000000000;6,848590000000000;560049,750000000000000;139743328,000000000000000;14671951,000000000000000;372,225340000000017;1209185,750000000000000;268897824,000000000000000;35350136,000000000000000;803,660030000000006;1973976,875000000000000;422234080,000000000000000;69688048,000000000000000;1311,962399999999889;3147500,500000000000000;598444416,000000000000000;125505968,000000000000000;2091,920410000000174;4701336,500000000000000;797606528,000000000000000;199685856,000000000000000;3124,645019999999931
19;20,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;30661,505860000001121;32653508,000000000000000;1092466,625000000000000;20,128460000000000;651789,812500000000000;139183312,000000000000000;15218870,000000000000000;427,882540000000006;1732293,500000000000000;267688688,000000000000000;36531164,000000000000000;1137,204220000000078;3295178,250000000000000;420260128,000000000000000;71619504,000000000000000;2163,196039999999812;5439425,000000000000000;595296960,000000000000000;128606448,000000000000000;3570,836670000000140;8475269,000000000000000;792905280,000000000000000;204354368,000000000000000;5563,786619999999857
20;21,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;35150,285159999999451;32622848,000000000000000;1123134,375000000000000;23,194479999999999;850229,875000000000000;138531520,000000000000000;15880595,000000000000000;561,037779999999998;1807904,125000000000000;265956432,000000000000000;38282024,000000000000000;1192,974490000000060;2937698,750000000000000;416964928,000000000000000;74942128,000000000000000;1938,487429999999904;4363050,500000000000000;589857408,000000000000000;134058456,000000000000000;2879,028560000000198;6234035,000000000000000;784430080,000000000000000;212780736,000000000000000;4113,627440000000206
21;22,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;23390,335940000000846;32587698,000000000000000;1158279,000000000000000;29,940030000000000;373420,750000000000000;137681264,000000000000000;16732739,000000000000000;477,984989999999982;750464,000000000000000;264148464,000000000000000;40095204,000000000000000;960,606809999999996;1180487,250000000000000;414027232,000000000000000;77887304,000000000000000;1511,043949999999995;1698335,375000000000000;585494592,000000000000000;138430688,000000000000000;2173,898439999999937;2382352,000000000000000;778196032,000000000000000;219025008,000000000000000;3049,451419999999871
22;23,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;10779,187500000000000;32564310,000000000000000;1181722,750000000000000;11,872019999999999;391825,375000000000000;137307856,000000000000000;17100782,000000000000000;431,549989999999980;979619,437500000000000;263397984,000000000000000;40835444,000000000000000;1078,936650000000100;2066817,250000000000000;412846720,000000000000000;79077632,000000000000000;2276,358400000000074;3693033,750000000000000;583796288,000000000000000;140236208,000000000000000;4067,446289999999863;5831534,500000000000000;775813632,000000000000000;221672512,000000000000000;6422,755860000000212
23;24,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;27060,896479999999428;32553530,000000000000000;1192448,625000000000000;30,178030000000000;379865,343750000000000;136916032,000000000000000;17498786,000000000000000;423,621919999999989;797386,000000000000000;262418384,000000000000000;41828604,000000000000000;889,236629999999991;1310453,875000000000000;410779936,000000000000000;81141808,000000000000000;1461,404659999999922;1941933,000000000000000;580103360,000000000000000;143838016,000000000000000;2165,623540000000048;2736538,500000000000000;769982016,000000000000000;227270656,000000000000000;3051,759520000000066
24;25,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;5509,616210000000137;32526470,000000000000000;1220159,500000000000000;10,554220000000001;664633,375000000000000;136536176,000000000000000;17872010,000000000000000;1273,171749999999975;1449479,500000000000000;261621040,000000000000000;42610140,000000000000000;2776,623289999999997;2323736,500000000000000;409469504,000000000000000;82425432,000000000000000;4451,350099999999657;3334638,250000000000000;578161472,000000000000000;145736032,000000000000000;6387,833499999999731;4488121,000000000000000;767245440,000000000000000;229939008,000000000000000;8597,445309999999154
25;26,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;2966,302729999999883;32520960,000000000000000;1225019,125000000000000;4,906030000000000;249132,203119999991031;135871520,000000000000000;18530624,000000000000000;412,045259999999985;561914,875000000000000;260171536,000000000000000;44046896,000000000000000;929,363399999999956;1001945,125000000000000;407145760,000000000000000;84729752,000000000000000;1657,139159999999947;1794138,750000000000000;574826816,000000000000000;149044544,000000000000000;2967,365719999999783;2987045,750000000000000;762757376,000000000000000;234394304,000000000000000;4940,340820000000349
26;27,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;43853,476560000002792;32517992,000000000000000;1227987,125000000000000;30,234140000000000;823288,000000000000000;135622368,000000000000000;18786454,000000000000000;567,603939999999966;2057647,250000000000000;259609616,000000000000000;44623080,000000000000000;1418,614990000000034;4032406,750000000000000;406143808,000000000000000;85755992,000000000000000;2780,084229999999934;6546795,000000000000000;573032640,000000000000000;150873744,000000000000000;4513,592770000000201;9420984,000000000000000;759770368,000000000000000;237428080,000000000000000;6495,160640000000058
27;28,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;3783,281010000000151;32474142,000000000000000;1271839,000000000000000;10,944870000000000;141427,593750000000000;134799072,000000000000000;19607070,000000000000000;409,143799999999999;408705,343750000000000;257551936,000000000000000;46678832,000000000000000;1182,366580000000113;940985,750000000000000;402111456,000000000000000;89784864,000000000000000;2722,230219999999917;1648924,875000000000000;566485888,000000000000000;157414608,000000000000000;4770,267090000000280;2482536,500000000000000;750349504,000000000000000;246839808,000000000000000;7181,868650000000343
28;29,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;1623,144900000000007;32470360,000000000000000;1275783,750000000000000;1,731950000000000;414204,187500000000000;134657632,000000000000000;19752722,000000000000000;441,968750000000000;1280013,875000000000000;257143216,000000000000000;47092772,000000000000000;1365,814579999999978;3040534,000000000000000;401170432,000000000000000;90734048,000000000000000;3244,344239999999900;5787823,000000000000000;564836928,000000000000000;159077072,000000000000000;6175,787110000000212;9149084,000000000000000;747866880,000000000000000;249342592,000000000000000;9762,357420000000275
29;30,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;33450,933590000000549;32468736,000000000000000;1277288,000000000000000;43,774160000000002;290829,125000000000000;134243456,000000000000000;20163608,000000000000000;380,581329999999980;599855,750000000000000;255863232,000000000000000;48365008,000000000000000;784,976009999999974;990959,062500000000000;398129952,000000000000000;93760368,000000000000000;1296,776980000000094;1564754,250000000000000;559049024,000000000000000;164841856,000000000000000;2047,649899999999889;2594544,500000000000000;738717824,000000000000000;258458464,000000000000000;3395,241700000000037
30;31,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;8322,480470000000423;32435284,000000000000000;1311064,375000000000000;4,975600000000000;674125,375000000000000;133952624,000000000000000;20457660,000000000000000;403,025969999999973;1698405,125000000000000;255263344,000000000000000;48975300,000000000000000;1015,391780000000040;3586274,750000000000000;397139072,000000000000000;94774440,000000000000000;2144,054929999999786;6711656,500000000000000;557484160,000000000000000;166446080,000000000000000;4012,564940000000206;10971536,000000000000000;736123328,000000000000000;261111520,000000000000000;6559,334469999999783
31;32,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;11335,909180000000561;32426964,000000000000000;1319050,000000000000000;6,777150000000000;786253,187500000000000;133278512,000000000000000;21128942,000000000000000;470,059810000000027;2042096,125000000000000;253564880,000000000000000;50665288,000000000000000;1220,862920000000031;4660879,000000000000000;393552704,000000000000000;98342200,000000000000000;2786,496579999999994;8652035,000000000000000;550772480,000000000000000;173126112,000000000000000;5172,601069999999709;14057193,000000000000000;725151936,000000000000000;272035680,000000000000000;8404,063480000000709
32;33,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;22086,898440000000846;32415626,000000000000000;1330354,250000000000000;18,998270000000002;547231,750000000000000;132492272,000000000000000;21915278,000000000000000;470,706939999999975;1389526,875000000000000;251522768,000000000000000;52709116,000000000000000;1195,215580000000045;2798128,500000000000000;388891808,000000000000000;103006504,000000000000000;2406,838619999999992;4882399,000000000000000;542120640,000000000000000;181789968,000000000000000;4199,645019999999931;7389016,000000000000000;711094592,000000000000000;286127712,000000000000000;6355,736820000000080
33;34,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;550,684570000000008;32393546,000000000000000;1352441,125000000000000;0,778290000000000;602689,937500000000000;131945032,000000000000000;22520376,000000000000000;851,787289999999985;1799303,250000000000000;250133248,000000000000000;54314168,000000000000000;2542,971919999999955;3461849,000000000000000;386093760,000000000000000;106205552,000000000000000;4892,663569999999709;5311664,500000000000000;537238080,000000000000000;187282368,000000000000000;7507,024900000000343;7320921,000000000000000;703705280,000000000000000;294363648,000000000000000;10346,725590000000011
34;35,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;48122,214840000000549;32392996,000000000000000;1352991,875000000000000;24,745390000000000;1472830,875000000000000;131342336,000000000000000;23071308,000000000000000;757,358519999999999;5174935,500000000000000;248333936,000000000000000;55923512,000000000000000;2661,053469999999834;10787721,000000000000000;382631968,000000000000000;109342672,000000000000000;5547,257810000000063;17633130,000000000000000;531926432,000000000000000;192123424,000000000000000;9067,301760000000286;25043168,000000000000000;696384384,000000000000000;301038048,000000000000000;12877,688480000000709
35;36,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;20671,855469999998604;32344880,000000000000000;1402289,250000000000000;20,489709999999999;576195,125000000000000;129869496,000000000000000;24541774,000000000000000;571,118159999999989;1871928,000000000000000;243159024,000000000000000;61078244,000000000000000;1855,434199999999919;3849457,000000000000000;371844256,000000000000000;120060152,000000000000000;3815,538820000000214;6167799,000000000000000;514293344,000000000000000;209616448,000000000000000;6113,453609999999571;8591143,000000000000000;671341248,000000000000000;325858368,000000000000000;8515,445309999999154
36;37,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;23027,431639999998879;32324206,000000000000000;1421804,625000000000000;15,155130000000000;842400,062500000000000;129293320,000000000000000;25121856,000000000000000;554,412109999999984;2497065,500000000000000;241287120,000000000000000;63013656,000000000000000;1643,403559999999970;5090449,500000000000000;367994720,000000000000000;124121600,000000000000000;3350,197749999999814;8113515,000000000000000;508125472,000000000000000;216160272,000000000000000;5339,779789999999593;11254146,000000000000000;662750144,000000000000000;334989600,000000000000000;7406,735840000000280
37;38,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;12865,767579999999725;32301184,000000000000000;1449433,125000000000000;10,552949999999999;1211953,250000000000000;128450912,000000000000000;26071802,000000000000000;994,086670000000026;3266554,000000000000000;238789984,000000000000000;65962344,000000000000000;2679,342290000000048;6230678,000000000000000;362904192,000000000000000;130050352,000000000000000;5110,621089999999640;9657985,000000000000000;500012032,000000000000000;225489328,000000000000000;7921,818849999999657;13439083,000000000000000;651495808,000000000000000;347836608,000000000000000;11023,208010000000286
38;39,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;3693,743410000000040;27101226,000000000000000;1457679,000000000000000;9,482989999999999;486893,625000000000000;112814920,000000000000000;27166434,000000000000000;1250,007810000000063;1044631,125000000000000;207938080,000000000000000;68702808,000000000000000;2681,893799999999828;1736696,125000000000000;312441152,000000000000000;135214736,000000000000000;4458,640620000000126;2533696,000000000000000;426537440,000000000000000;233534624,000000000000000;6504,787599999999657;3378103,750000000000000;552101888,000000000000000;359116800,000000000000000;8672,645510000000286
39;40,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;26086,441409999999451;27097530,000000000000000;1461372,750000000000000;13,114520000000001;1519514,000000000000000;112328032,000000000000000;27658042,000000000000000;763,910219999999981;3193939,500000000000000;206893440,000000000000000;69755360,000000000000000;1605,699579999999969;5036072,500000000000000;310704480,000000000000000;136964064,000000000000000;2531,801030000000083;7067808,000000000000000;424003744,000000000000000;236085744,000000000000000;3553,221919999999955;10005962,000000000000000;548723712,000000000000000;362517120,000000000000000;5030,329590000000280
40;41,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;1866,745359999999891;27071446,000000000000000;1487459,500000000000000;5,810470000000000;123149,570309999995516;110808488,000000000000000;29171096,000000000000000;383,317630000000008;262669,343750000000000;203699456,000000000000000;72936408,000000000000000;817,589420000000018;421417,937500000000000;305668288,000000000000000;141979328,000000000000000;1311,713259999999991;593410,750000000000000;416935968,000000000000000;243124800,000000000000000;1847,061279999999897;800130,500000000000000;538717952,000000000000000;372486272,000000000000000;2490,500979999999799
41;42,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;864,016600000000039;27069580,000000000000000;1489326,250000000000000;2,125090000000000;193653,062500000000000;110685344,000000000000000;29307448,000000000000000;476,298710000000028;410114,875000000000000;203436784,000000000000000;73226744,000000000000000;1008,696590000000015;645414,875000000000000;305246880,000000000000000;142443712,000000000000000;1587,427979999999934;899634,750000000000000;416342528,000000000000000;243777216,000000000000000;2212,693600000000060;1184778,625000000000000;537917888,000000000000000;373361600,000000000000000;2914,018070000000080
