WP4,campaign,dr_ss,pu
3507,1,0.010553368940353454,103507
3508,1,0.003108180666208601,103508
3509,1,0.001474320860251163,103509
3510,1,9.243745834180264e-4,103510
3511,1,8.534513013546016e-4,103511
3512,1,0.0011029461758420643,103512
3513,1,0.010219721176520119,103513
3514,1,0.017649095754881838,103514
3515,1,0.005561905787257979,103515
3516,1,0.04827747176297084,103516
3517,1,0.1423891863396661,103517
3518,1,0.12674079506715857,103518
3519,1,0.014212289461437627,103519
3520,1,0.014808240118705827,103520
3521,1,0.1575963377497577,103521
3522,1,0.17986420981407658,103522
3523,1,0.06461733348535864,103523
3524,1,0.2537230836479725,103524
3525,1,0.12629122704406395,103525
3526,1,0.16901803041551522,103526
3527,1,0.2679528566256576,103527
3528,1,0.2020694085013982,103528
3529,1,0.21938375374962524,103529
3530,1,0.1645030116796474,103530
3531,1,0.16414877662766733,103531
3532,1,0.14827001350711158,103532
3533,1,0.14258664178292493,103533
3534,1,0.20579198004354027,103534
3535,1,0.16815764357272725,103535
3536,1,0.26312690409303774,103536
3537,1,0.41800914156163926,103537
3538,1,0.5425060506261403,103538
3539,1,0.4719567653612398,103539
3540,1,0.13025262755136477,103540
3541,1,0.5688636579935228,103541
3542,1,0.3233336586727759,103542
3543,1,0.49550933887462423,103543
3544,1,0.41114412276363543,103544
3545,1,0.0933811119117891,103545
3546,1,0.03408652955087475,103546
3547,1,0.01068676444942422,103547
3548,1,0.028095697587159303,103548
3549,1,0.007551567961829293,103549
3550,1,0.05744876667735599,103550
3551,1,0.09498867672974877,103551
3552,1,0.19369454189725172,103552
3553,1,0.07992450934564484,103553
3554,1,0.01757055632799448,103554
3555,1,0.00958924381235145,103555
3556,1,0,103556
3557,1,0.003033189194485965,103557
3558,1,0.013441738408532746,103558
3559,1,0.02824998183381375,103559
3560,1,0.03240595445081924,103560
3561,1,0.10964924079229102,103561
3562,1,0.035935155823333405,103562
3563,1,0,103563
3564,1,0.03435028954177087,103564
3565,1,0.1000763898774745,103565
3566,1,0.28433080513421954,103566
3567,1,0.12335264227196191,103567
3568,1,0.30873798559698284,103568
3569,1,0.17214588630621763,103569
3570,1,0.13596673774949097,103570
3571,1,0.06898590786431624,103571
3572,1,0.10441213327150148,103572
3573,1,0.13660822160023156,103573
3574,1,0.05367266333638885,103574
3575,1,0.05371486239989126,103575
3576,1,0.01205045226412183,103576
3577,1,0.024910189904961508,103577
3578,1,0.02789526347076201,103578
3579,1,0.025253040969703648,103579
3580,1,0.10445013739329623,103580
3581,1,0.07276911152437973,103581
3582,1,0.03494130458449181,103582
3583,1,0.017970012653188563,103583
3584,1,0.07615368219646816,103584
3585,1,0.14290175233522118,103585
3586,1,0.017928188885968723,103586
3587,1,0.005286053650940239,103587
3588,1,0.05869556871284069,103588
3589,1,0.1427209796659211,103589
3590,1,0.12093758644541368,103590
3592,1,0.15267516136300413,103592
3593,1,0.009987670139377958,103593
3594,1,0.09360508719015775,103594
3595,1,0.07441500340630976,103595
3596,1,0.012714328793055668,103596
3597,1,0.026732347594225592,103597
3598,1,0.026328494075142202,103598
3599,1,0.014462633023553807,103599
3600,1,0.025735826847024582,103600
3601,1,0.05116978707752781,103601
3602,1,0.022887783267510026,103602
3603,1,0.008011826142470563,103603
3604,1,0.051476900677758904,103604
3605,1,0.023818024817483456,103605
3606,1,0.09731382457285585,103606
3607,1,0.08686166934756893,103607
3608,1,0.13027089031716219,103608
3609,1,0.06620040484769603,103609
3610,1,0.055098621677008026,103610
3611,1,0.03062035701218936,103611
