WP4,campaign,flo_rip,pu
3507,1,0.2822265625,103507
3508,1,0.2822265625,103508
3509,1,0.2822265625,103509
3510,1,0.25,103510
3511,1,0.2197265625,103511
3512,1,0.2197265625,103512
3513,1,0.2197265625,103513
3514,1,0.19140625,103514
3515,1,0.2197265625,103515
3516,1,0.2197265625,103516
3517,1,0.19140625,103517
3518,1,0.1650390625,103518
3519,1,0.140625,103519
3520,1,0.4306640625,103520
3521,1,0.140625,103521
3522,1,0.140625,103522
3523,1,0.140625,103523
3524,1,0.140625,103524
3525,1,0.140625,103525
3526,1,0.140625,103526
3527,1,0.140625,103527
3528,1,0.140625,103528
3529,1,0.140625,103529
3530,1,0.140625,103530
3531,1,0.140625,103531
3532,1,0.140625,103532
3533,1,0.140625,103533
3534,1,0.140625,103534
3535,1,0.1181640625,103535
3536,1,0.1181640625,103536
3537,1,0.1181640625,103537
3538,1,0.09765625,103538
3539,1,0.09765625,103539
3540,1,0.09765625,103540
3541,1,0.09765625,103541
3542,1,0.0791015625,103542
3543,1,0.0478515625,103543
3544,1,0.0478515625,103544
3545,1,0.0478515625,103545
3546,1,0.0625,103546
3547,1,0.0478515625,103547
3548,1,0.0478515625,103548
3549,1,0.0478515625,103549
3550,1,0.0478515625,103550
3551,1,0.0478515625,103551
3552,1,0.0478515625,103552
3553,1,0.03515625,103553
3554,1,0.03515625,103554
3555,1,0.03515625,103555
3556,1,0.03515625,103556
3557,1,0.03515625,103557
3558,1,0.03515625,103558
3559,1,0.0478515625,103559
3560,1,0.0478515625,103560
3561,1,0.0478515625,103561
3562,1,0.0625,103562
3563,1,0.0478515625,103563
3564,1,0.0478515625,103564
3565,1,0.0478515625,103565
3566,1,0.0478515625,103566
3567,1,0.0625,103567
3568,1,0.09765625,103568
3569,1,0.09765625,103569
3570,1,0.09765625,103570
3571,1,0.09765625,103571
3572,1,0.0478515625,103572
3573,1,0.0791015625,103573
3574,1,0.03515625,103574
3575,1,0.0478515625,103575
3576,1,0.0478515625,103576
3577,1,0.0478515625,103577
3578,1,0.03515625,103578
3579,1,0.0478515625,103579
3580,1,0.09765625,103580
3581,1,0.09765625,103581
3582,1,0.0478515625,103582
3583,1,0.0478515625,103583
3584,1,0.0625,103584
3585,1,0.0791015625,103585
3586,1,0.09765625,103586
3587,1,0.09765625,103587
3588,1,0.09765625,103588
